species	taxonomic_group	genome_size_Mb	name
Acoerulea	other_eudicot	306.5	Aquilegia coerulea
Acomosus	monocot_commelinid	526	Ananans comosus
Ahalleri	eudicot_rosid	145.5	Arabidopsis halleri
Ahypochondriacus	other_eudicot	466	Amaranthus hypochondriacus
Alyrata	eudicot_rosid	207	Arabidopsis lyrata
Athaliana	eudicot_rosid	135	Arabidopsis thaliana
Atrichopoda	basal_dicot	870	Amborella trichopoda
Bdistachyon	monocot_commelinid	272	Brachypodium distachyon
Boleraceacapitata	eudicot_rosid	630	Brassica oleracea capitata
BrapaFPsc	eudicot_rosid	283	Brassica rapa
Bstacei	monocot_commelinid	234	Brachypodium stacei
Bstricta	eudicot_rosid	196.5	Boechera stricta
Cclementina	eudicot_rosid	301.4	Citrus clementina
Cgrandiflora	eudicot_rosid	112.3	Capsella grandiflora
Cpapaya	eudicot_rosid	135	Carica papaya
Crubella	eudicot_rosid	134.8	Capsella rubella
Csativus	eudicot_rosid	203	Cucumis sativus
Csinensis	eudicot_rosid	319	Citrus sinensis
Dcarota	eudicot_asterid	421	Daucus carota
Egrandis	eudicot_rosid	691	Eucalyptus grandis
Esalsugineum	eudicot_rosid	241	Eutrema salsugineum
Fvesca	eudicot_rosid	240	Fragaria vesca
Gmax	eudicot_rosid	978	Glycine max
Graimondii	eudicot_rosid	761.4	Gossypium raimondii
Kfedtschenkoi	other_eudicot	256	Kalanchoe fedtschenkoi
Klaxiflora	other_eudicot	422	Kalanchoe laxiflora
Lusitatissimum	eudicot_rosid	318.3	Linum usitatissimum
Macuminata	monocot_commelinid	472	Musa acuminata
Mdomestica	eudicot_rosid	881.3	Malus domestica
Mesculenta	eudicot_rosid	582.25	Manihot esculenta
Mguttatus	eudicot_asterid	430	Mimulus guttatus
Mtruncatula	eudicot_rosid	390	Medicago truncatula
Osativa	monocot_commelinid	372	Oryza sativa
Othomaeum	monocot_commelinid	250	Oropetium thomaeum
Phallii	monocot_commelinid	554	Panicum hallii
Ppersica	eudicot_rosid	227.4	Prunus persica
Ptrichocarpa	eudicot_rosid	422.9	Populus trichocarpa
Pvirgatum	monocot_commelinid	1230	Panicum virgatum
Pvulgaris	eudicot_rosid	537.2	Phaseolus vulgaris
Rcommunis	eudicot_rosid	400	Ricinus communis
Sbicolor	monocot_commelinid	732.2	Sorghum bicolor
Sitalica	monocot_commelinid	515	Setaria italica
Slycopersicum	eudicot_asterid	900	Solanum lycopersicum
Spolyrhiza	monocot_alismatid	158	Spirodela polyrhiza
Spurpurea	eudicot_rosid	392	Salix purpurea
Stuberosum	eudicot_asterid	723	Solanum tuberosum
Sviridis	monocot_commelinid	394.9	Setaria viridis
Tcacao	eudicot_rosid	346	Theobroma cacao
Tpratense	eudicot_rosid	420	Trifolium pratense
Vvinifera	eudicot_rosid	487	Vitis vinifera
Zmarina	monocot_alismatid	202.3	Zostera marina
Zmays	monocot_commelinid	2058	Zea mays
