X1	X2	X3	X4	X5	taxonomic_group	GC3.mean	species	cor	p	upr	lwr
NA	NA	NA	NA	NA	other_eudicot	36.058	Acoerulea	-0.141590078492973	1.7249674625369e-124	-0.153088177058321	-0.130053648467092
NA	NA	NA	NA	NA	monocot_commelinid	51.6	Acomosus	0.4092583666113	0	0.398389419632182	0.420012392978955
NA	NA	NA	NA	NA	eudicot_rosid	40.898	Ahalleri	-0.0527857532638357	3.14987954282693e-15	-0.0658698312967548	-0.0396835264801684
NA	NA	NA	NA	NA	other_eudicot	36.494	Ahypochondriacus	-0.0322833349079852	5.87899732074252e-06	-0.0462310628226309	-0.0183230218004397
NA	NA	NA	NA	NA	eudicot_rosid	41.56	Alyrata	-0.109411708771914	5.37588736951225e-68	-0.121591033368966	-0.0971994426624478
NA	NA	NA	NA	NA	eudicot_rosid	40.959	Athaliana	-0.130150547166278	1.32938046257849e-102	-0.141841529097341	-0.118423262105214
NA	NA	NA	NA	NA	basal_dicot	42.832	Atrichopoda	0.0768589221281022	1.83154772017025e-36	0.0649564215358278	0.0887395564236312
NA	NA	NA	NA	NA	monocot_commelinid	53.863	Bdistachyon	0.383363405720383	0	0.374107870431894	0.392542578505252
NA	NA	NA	NA	NA	eudicot_rosid	44.401	Boleraceacapitata	-0.114308989509158	2.94762361833552e-103	-0.124577801076103	-0.104015693107663
NA	NA	NA	NA	NA	eudicot_rosid	44.228	BrapaFPsc	-0.0812051287296528	1.24366052584103e-53	-0.0914682213432641	-0.0709247867712058
NA	NA	NA	NA	NA	monocot_commelinid	55.592	Bstacei	0.431627314722535	0	0.421797788233941	0.441355395080135
NA	NA	NA	NA	NA	eudicot_rosid	41.731	Bstricta	-0.0895194455928601	9.67025415110238e-44	-0.102078772531007	-0.0769315848282711
NA	NA	NA	NA	NA	eudicot_rosid	39.875	Cclementina	0.0216125245713353	0.000585184745384081	0.00929440891793307	0.0339240818584259
NA	NA	NA	NA	NA	eudicot_rosid	41.436	Cgrandiflora	-0.136551312725325	1.01854709596432e-92	-0.149447581629543	-0.123608593372997
