"nbexon" "Acoerulea" "Acomosus" "Ahalleri" "Ahypochondriacus" "Alyrata" "Athaliana" "Atrichopoda" "Bdistachyon" "Boleraceacapitata" "BrapaFPsc" "Bstacei" "Bstricta" "Cclementina" "Cgrandiflora" "Cpapaya" "Crubella" "Csativus" "Csinensis" "Dcarota" "Egrandis" "Esalsugineum" "Fvesca" "Gmax" "Graimondii" "Kfedtschenkoi" "Klaxiflora" "Lusitatissimum" "Macuminata" "Mdomestica" "Mesculenta" "Mguttatus" "Mtruncatula" "Osativa" "Othomaeum" "Phallii" "Ppersica" "Ptrichocarpa" "Pvirgatum" "Pvulgaris" "Rcommunis" "Sbicolor" "Sitalica" "Slycopersicum" "Spolyrhiza" "Spurpurea" "Stuberosum" "Sviridis" "Tcacao" "Tpratense" "Vvinifera" "Zmarina" "Zmays" "tot"
1 751.925495801322 957.072841726619 815.800904977376 778.510732617826 785.251576394503 842.725101543461 582.726576250129 743.490315693152 702.287928307854 818.843886318572 842.912356592063 812.132447492499 872.980950387272 879.217345431526 547.173351050978 912.312572533849 657.485261875761 785.409090909091 778.014603960396 695.079101944916 888.037170263789 938.916815423063 703.893108728943 791.434277751974 734.987329434698 883.10805769709 826.83645822044 502.27091813659 653.071141919008 680.714708254907 851.932120363891 683.505367255515 777.577643973973 573.205635692721 701.922540983607 810.533295389869 707.324548192771 640.094090117545 858.703499803382 663.090435429847 806.649317676928 838.920484293194 640.777738598966 898.508933263269 778.768728222997 684.333718435385 831.332808564232 710.189899930184 624.875219876869 557.436018957346 865.985981308411 501.788498463902 743.678662576357
2 405.676860934795 383.090634441088 387.119674670798 409.302662490211 393.845011876485 422.017189835575 316.353846153846 414.016451756336 367.9306820134 411.120414152943 426.479136947218 391.302183301344 457.515602322206 431.992757660167 319.46180619161 451.951440224318 453.533935333528 437.038504777965 431.119984264359 465.395207331731 424.426470588235 322.42611292846 402.921283130474 422.639337416481 410.773680795848 453.02478094195 405.1110439826 250.939076630176 376.478487905025 433.897333863908 445.775759577279 298.680055401662 378.782750342936 294.031345306676 409.437450877653 446.90758887876 411.673192949249 337.092518491573 451.386098886875 353.094040459267 437.811003683241 430.941209883556 347.463648429435 390.602165725047 441.145785876993 373.684369024857 422.047207713941 396.017468422467 355.63656323185 272.066409597258 403.930071009571 315.556273738922 388.059774973716
3 310.049056603774 267.268199233716 285.932743362832 304.473088923557 297.098803071364 311.658547147342 277.920934043425 329.8955954323 277.118976935373 309.103256212511 329.914995763909 302.515544041451 338.56203191143 320.057090239411 260.385448916409 325.921900963775 318.621343873518 306.249056603774 323.377600586564 342.319876461505 314.980939861978 273.614035087719 292.13448868519 296.546494030604 293.459421510812 309.641263608781 318.748741773132 247.614024512759 296.202313503305 315.636550912301 311.430884184309 260.242054794521 301.931582981985 252.581074035454 319.260732323232 322.008345752608 302.365923113431 274.787262397419 313.331715771231 273.204000418892 336.573073969798 333.419462566014 296.608012170385 257.606576402321 315.251872290106 266.190088076771 325.159498956159 293.612146307798 278.555277145027 233.545383817427 290.923148579413 247.771953221174 293.434816920554
4 260.730870445344 218.431765389082 241.761108512629 263.5435584563 255.867978770456 260.514244426094 246.916182452063 273.071045096636 235.241625036732 260.896186440678 276.094703770197 259.707865168539 262.974919419823 267.398206495395 221.884135472371 270.286807095344 255.865296803653 247.221500487171 258.575435729847 282.81036036036 266.374844591794 250.042019441831 247.555464030752 246.773661467116 248.856548279689 261.783743351064 274.352396373057 228.378751974724 253.920155221072 265.649799599198 259.215539661899 245.561747659385 262.256319590731 221.137931034483 267.217701863354 269.755489214176 252.936229205176 236.873442050087 266.92852303523 253.952762703503 280.032642386672 272.964442013129 256.658940397351 219.929372197309 261.91939098339 232.399118511263 272.554530477759 258.407947911989 244.711045891142 223.173916872138 247.190926275992 210.334336922641 249.485752694138
5 226.587671930718 205.201106639839 215.077339611536 219.339544807966 221.471125611746 220.523560716014 222.326172465961 234.991666666667 206.826465798046 221.54170466503 235.670279146141 226.676240760296 228.518083003953 223.59019138756 205.305693753455 231.58645775042 217.773898305085 218.893637454982 222.983033419023 235.941990119972 231.48281660536 227.116158285243 221.397556270096 211.258470335954 214.608284556506 221.305294117647 230.490326755095 208.560933503836 231.778021102927 232.739405034325 214.323819517314 227.441847313855 231.2 197.496575739988 230.962634524322 234.485174043833 219.37021174206 212.132020547945 232.432241555783 221.755058823529 239.568792934249 236.712537018756 221.232773109244 199.700194426442 230.218215271389 206.08634746922 236.250828247602 217.896349614396 223.604928909953 207.599244926852 217.607987220447 188.634930737551 217.973863721896
6 200.555379746835 183.309327411168 184.678056188307 197.90841813136 196.242456896552 196.560802469136 192.572985781991 207.0119953189 188.595487932844 197.182988505747 206.975636363636 202.294649061849 204.28734939759 195.134896233666 186.585348506401 196.999647639183 199.016290726817 192.13505607021 199.857475276323 205.483179723502 200.552594670407 214.47838668837 196.070363588805 189.762967430639 191.177016985138 195.359269932757 208.907676348548 191.086067233698 209.850334878928 202.511575381141 194.337531486146 213.233672603902 215.821517723415 189.206123973114 206.502228412256 206.323759063023 199.263237518911 191.473727422003 199.756532823454 201.574449449449 205.239157372986 207.62381852552 199.106719367589 180.17667238422 200.558553386912 184.825944487278 206.958309373203 196.816332916145 200.571509777171 204.559789750329 186.453389830508 175.876854250059 194.798589580154
7 199.371673294585 184.83900425319 179.648496240602 187.117940199336 193.430749828021 190.497824030274 187.193822393822 203.046615519083 182.617362503269 189.093216531896 200.28905380334 192.158563344497 189.324254881809 189.905043436293 181.175074925075 193.757527733756 189.434419381788 184.752525252525 194.446772205896 194.943498511109 191.524890927397 205.342494714588 192.162880488462 183.158036019327 188.286366176197 190.510656256594 201.776340366655 183.667016806723 201.029555035129 194.780190975473 187.671661671662 201.53043047996 219.166988416988 177.744695229085 202.187192118227 197.571705426357 188.372410775066 180.188847194345 195.589793019481 189.079250161603 201.447784319802 197.844448922023 193.706932773109 177.492378959952 193.890147572102 178.517179023508 196.73491556367 185.085156895128 191.255563531945 184.537264629609 190.499730458221 168.978661738144 188.007621984203
8 180.163336431227 172.53752699784 166.387206427689 174.346234309623 178.226483762598 173.597949604743 172.298276983095 174.547906091371 171.315599173554 170.430816473988 178.737096774194 177.946590909091 175.888666352498 171.744133574007 168.016235632184 179.005502257336 170.609707446808 171.332747781065 188.850177304965 176.516935483871 175.231192425793 193.061408977556 174.977976190476 171.086961115807 172.144716088328 175.92234141791 188.819267515924 175.917279411765 191.50589316609 177.747703412073 170.867211838006 188.828092243187 202.035897435897 167.927729528536 177.516346992153 176.979150871873 175.203103989242 168.35952240566 181.698 181.352815177479 175.707206156716 174.131709039548 180.870535714286 157.605705804749 172.675110436223 161.84801933874 177.971553156146 173.495905172414 182.205898566703 178.262024048096 172.251679104478 153.444836343115 172.975136279108
9 173.705637533106 168.635734072022 161.797101449275 174.157497303128 169.269900497512 166.678666205146 167.67960199005 170.121155053358 165.764973958333 168.675119752043 171.131227217497 166.607621440536 164.188483547926 169.81036036036 156.982941447672 172.927983539095 166.714379860287 164.054988662132 177.240223463687 165.743011722272 166.76002999625 187.399501956599 169.437804136253 165.113107119095 167.886899151744 168.639601885804 176.267983074753 167.575834748161 181.600069917847 173.293238192321 164.533553355336 174.574647122693 181.049010061668 170.51179941003 171.477800546448 173.536873156342 169.436312946506 164.107131486788 173.135802469136 171.370422535211 170.36544011544 170.877618522602 171.768723321692 154.617824773414 170.450864521777 153.70304975923 173.268308702791 160.027368421053 171.859581732821 170.870900788709 163.731594202899 151.780303030303 166.156448215516
10 162.520129032258 157.983770491803 152.325210084034 167.962763915547 163.270219435737 159.028227848101 169.1216796875 164.292651757189 164.901538461538 158.637371428571 162.618523878437 157.345754716981 159.511797752809 159.023307086614 154.816315789474 164.376548672566 155.179505813953 156.804008221994 171.130209481808 162.777816901408 163.795091164095 181.704609475032 161.557574063723 157.95652173913 163.70733410943 162.341818181818 174.593223140496 160.097107039537 177.861203319502 163.416811955168 153.193506493507 173.032798395186 172.242105263158 154.489340101523 168.949278846154 166.506918238994 164.520303951368 158.963713355049 164.866535433071 166.10823723229 164.590310077519 171.417591339648 169.909198813056 148.907570422535 163.541267123288 152.221917808219 170.689856801909 158.297212543554 172.13 161.815062761506 161.88488372093 148.219050410317 160.364158718629
11 159.210344827586 164.976718403548 151.633923123856 167.746853146853 154.132483370288 154.638073038073 161.257398339366 158.017309911527 156.936726064633 148.385275102256 155.028376248029 160.619934282585 155.726789168279 162.107709538921 146.776693105552 157.141906873614 151.741271715298 150.081973581974 168.855117895598 146.889291689905 159.814857902609 178.12693498452 160.433443928334 150.984199134199 155.642203052422 156.298389524383 164.852235387832 155.690481283422 172.921217080792 156.305728518057 156.232445141066 164.527976255909 158.084697910785 162.025744167337 162.648370497427 161.156007628735 154.562727272727 153.524861878453 160.305911406081 160.557894736842 154.445454545455 159.395032802249 162.431289640592 147.688699360341 158.144524680977 146.088694972649 161.969982847341 145.959804062815 168.936838262139 162.640591966173 161.530262840608 141.524485450674 155.323686021173
12 151.347596153846 156.54920212766 144.144329896907 149.979351032448 156.541666666667 146.08024691358 150.507672634271 156.563127090301 149.527327935223 144.301752921536 160.636221294363 151.070638820639 149.095238095238 148.095571095571 145.689415708812 150.90859030837 149.663242009132 147.341111111111 156.799028268551 135.622093023256 145.933962264151 175.416984732824 152.607110912343 147.169325432999 147.742818671454 150.482980680773 159.445708712614 146.519145802651 170.616632860041 154.657818532819 150.002659574468 160.043560606061 148.292523364486 158.063455657492 155.128180039139 155.351503759398 153.593811881188 147.709038054968 156.209870848708 157.174418604651 144.680097087379 150.754032258065 155.600299401198 150.729338842975 156.593953185956 137.38963963964 154.181531531532 143.891732283465 154.748783454988 150.585214446953 142.459134615385 138.434485896269 148.966128670159
