"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess"
"Zea" "AC148167.6_FGT001.v6a" 6 "7" 11674216 46.8278539965744 3.74940756164789 40.2277467437042 9.6597133181762 2.31
"Zea" "AC155434.2_FGT001.v6a" 3 "7" 173932764 59.7183368986891 8.53894985588444 77.7116398816503 17.6410543870947 NA
"Zea" "AC155434.2_FGT003.v6a" 4 "7" 173928510 44.6272519023018 5.09014522575451 47.5461822660099 5.32100826046384 NA
"Zea" "AC155434.2_FGT004.v6a" 17 "7" 173875849.5 44.4053129239962 8.688564468678 41.5703841892315 17.1986489711352 NA
"Zea" "AC155434.2_FGT005.v6a" 6 "7" 173861929.5 58.5871593209592 7.06990718500454 69.4243584006675 9.59900360287655 NA
"Zea" "AC155434.2_FGT006.v6a" 1 "7" 173849026 60.8635097493036 NA 68.8284518828452 NA NA
"Zea" "AC155434.2_FGT008.v6a" 1 "7" 173838816 65.2597402597403 NA 67.6470588235294 NA NA
"Zea" "AC183928.4_FGT001.v6a" 2 "7" 110555.5 55.9417455411757 2.05163861484892 53.2494187736123 3.95833896326817 NA
"Zea" "AC183928.4_FGT006.v6a" 4 "7" 45958.5 56.5232391877129 12.2859683999409 64.7091584158416 13.6004957809628 NA
"Zea" "AC183933.2_FGT003.v6a" 1 "7" 176450014.5 61.1764705882353 NA 73.0496453900709 NA NA
"Zea" "AC184048.4_FGT002.v6a" 1 "7" 150127613.5 57.0824524312896 NA 59.4936708860759 NA 3.04
"Zea" "AC184048.4_FGT011.v6a" 1 "7" 150067436.5 60.1830663615561 NA 61.3793103448276 NA 3
"Zea" "AC184048.4_FGT013.v6a" 1 "7" 150086757.5 69.5299837925446 NA 74.7572815533981 NA 3.01
"Zea" "AC184116.3_FGT001.v6a" 1 "7" 60272320.5 60.4685212298682 NA 64.9122807017544 NA -0.15
"Zea" "AC184691.2_FGT001.v6a" 1 "7" 60069054.5 66.5399239543726 NA 66.6666666666667 NA -0.16
"Zea" "AC184706.2_FGT001.v6a" 1 "7" 57413194.5 76.9751693002257 NA 81.7567567567568 NA -0.15
"Zea" "AC185108.3_FGT006.v6a" 2 "7" 162223892 41.063689466742 9.38678589308319 38.2183908045977 6.90851452883413 5.17
"Zea" "AC185108.3_FGT007.v6a" 1 "7" 162217545.5 35.4988399071926 NA 27.972027972028 NA 5.18
"Zea" "AC185108.3_FGT008.v6a" 3 "7" 162330024.5 47.4844843418511 2.54323034398168 51.9980363279332 4.02624085185979 5.15
"Zea" "AC185108.3_FGT010.v6a" 1 "7" 162349035.5 74.6791131855309 NA 94.0350877192982 NA 5.16
"Zea" "AC185108.3_FGT011.v6a" 1 "7" 162353005 70.4697986577181 NA 80.4020100502513 NA 5.16
"Zea" "AC186013.3_FGT001.v6a" 1 "7" 59346698.5 68.2892906815021 NA 71.25 NA -0.16
"Zea" "AC186013.3_FGT002.v6a" 1 "7" 59339311 65.5737704918033 NA 60.7361963190184 NA -0.16
"Zea" "AC186371.3_FGT005.v6a" 1 "7" 147623507.5 72.5321888412017 NA 76.9230769230769 NA 2.01
"Zea" "AC186374.4_FGT003.v6a" 1 "7" 91567547.5 60.4060913705584 NA 59.0909090909091 NA 0.17
"Zea" "AC186374.4_FGT004.v6a" 3 "7" 91569800 48.368819346726 8.29023996284293 41.281045751634 14.6669462767377 0.17
"Zea" "AC186438.3_FGT004.v6a" 2 "7" 45219139 43.5689655172414 27.4796324964565 29.6268656716418 27.7565796197108 0.01
"Zea" "AC186493.4_FGT002.v6a" 1 "7" 154298309 51.8318965517241 NA 53.9579967689822 NA 4.9
"Zea" "AC186570.3_FGT001.v6a" 3 "7" 155677856.5 53.5725492844177 4.60856624886496 35.1590979301823 7.16914246885133 5.43
"Zea" "AC186580.4_FGT004.v6a" 1 "7" 125930253 58.8235294117647 NA 70.3296703296703 NA 1.94
"Zea" "AC186581.3_FGT003.v6a" 2 "7" 40988202 67.0398735716022 1.04355413610562 74.640522875817 7.57944523624795 0.05
"Zea" "AC186780.4_FGT001.v6a" 5 "7" 42397012 51.3036705101437 4.13851392685075 47.9408116250222 10.3375498984492 0.04
"Zea" "AC186781.4_FGT006.v6a" 5 "7" 139462720 51.6053399809468 13.7729694048806 51.1431935317227 19.9826383218048 0.49
"Zea" "AC186782.4_FGT001.v6a" 4 "7" 90761037.5 52.0102339181286 8.54893207336969 58.8675213675214 42.8806280857722 0.16
"Zea" "AC186782.4_FGT003.v6a" 10 "7" 90788754.5 48.5477023803347 13.026522654318 47.4588011608885 21.7816872434621 0.16
