species	GC_total.mean	GC_total.sd	GC3.mean	GC3.sd	percentage_Multiple_UTR	cor_GC.nbexon	p_GC.nbexon
Acoerulea	41.306	5.148	36.058	10.725	56.6	-0.016809347	1.6e-10
Acomosus	49.172	9.956	51.6	18.638	18.6	-0.379677661	0
Ahalleri	43.407	5.171	40.898	10.836	20.8	-0.181238947	0
Ahypochondriacus	41.715	5.309	36.494	10.392	17.1	-0.041305398	5.31e-37
Alyrata	43.837	5.232	41.56	10.867	31.4	-0.22645327	0
Athaliana	43.594	5.121	40.959	10.667	29.7	-0.209541793	0
Atrichopoda	44.849	5.778	42.832	11.738	0	-0.351132068	0
Bdistachyon	50.423	11.068	53.863	21.566	61	-0.455601265	0
Boleraceacapitata	45.21	5.311	44.401	11.408	0	-0.255745435	0
BrapaFPsc	44.914	5.5	44.228	11.598	20.7	-0.248874739	0
Bstacei	51.239	11.328	55.592	22.191	36.7	-0.481381688	0
Bstricta	43.772	5.287	41.731	10.88	24.7	-0.224214796	0
Cclementina	43.2	5.558	39.875	11.147	34.1	-0.212470908	0
Cgrandiflora	43.821	5.078	41.436	10.743	19.8	-0.248528015	0
Cpapaya	43.598	6.027	44.812	12.093	0	-0.121940853	0
Crubella	43.755	5.077	41.474	10.712	18.3	-0.244691739	0
Csativus	42.893	5.65	39.215	11.257	40.3	-0.208305023	0
Csinensis	43.141	5.494	39.491	11.069	47.6	-0.199843526	0
Dcarota	42.995	5.157	39.233	10.707	0	-0.212648616	0
Egrandis	47.409	7.965	49.52	16.626	28.7	-0.342116094	0
Esalsugineum	44.39	5.318	43.017	11.056	18.4	-0.246559941	0
Fvesca	45.51	6.774	44.755	12.598	0	-0.206555614	0
Gmax	42.793	6.348	39.571	13.021	56.5	-0.251268373	0
Graimondii	42.865	5.539	38.997	11.188	61.4	-0.228368086	0
Kfedtschenkoi	46.575	6.978	47.516	14.709	53.3	-0.354373992	0
Klaxiflora	46.655	6.827	47.591	14.627	46.3	-0.366994232	0
Lusitatissimum	46.713	5.599	47.395	12.545	0	-0.36999031	0
Macuminata	47.294	9.364	48.81	19.131	4.4	-0.36632511	0
Mdomestica	45.152	6.277	44.075	12.64	0	-0.272202045	0
Mesculenta	42.716	5.494	38.755	11.107	37.3	-0.226967345	0
Mguttatus	44.686	6.269	44.103	12.834	28.6	-0.315413947	0
Mtruncatula	40.885	5.515	36.22	10.557	18.7	-0.093600342	0
Osativa	51.604	11.767	55.878	22.124	29.6	-0.444378468	0
Othomaeum	51.253	11.529	55.769	22.314	6.8	-0.445142033	0
Phallii	51.477	12.049	55.775	22.933	42.1	-0.438771816	0
Ppersica	43.878	5.77	41.324	12.183	62.5	-0.273216433	0
Ptrichocarpa	43.125	5.261	39.308	10.611	45.3	-0.188113599	0
Pvirgatum	51.648	12.141	55.839	22.487	37.3	-0.389153328	0
Pvulgaris	42.914	6.154	39.52	12.757	46.1	-0.276583345	0
Rcommunis	43.348	6.719	41.993	13.105	2.7	-0.177648149	0
Sbicolor	51.03	11.547	55.096	22.564	54.2	-0.467752961	0
Sitalica	51.652	11.857	56.331	22.995	37.6	-0.47539632	0
Slycopersicum	41.565	5.718	36.966	11.387	7.1	-0.026532499	1.75e-23
Spolyrhiza	51.801	9.917	58.903	20.221	0	-0.425801752	0
Spurpurea	43.416	5.422	40.101	10.959	53.9	-0.250466914	0
Stuberosum	42.438	5.392	37.844	10.623	0	-0.085315996	1.97626258336499e-323
Sviridis	51.317	11.833	55.521	22.77	42.6	-0.476107271	0
Tcacao	43.208	5.735	39.701	11.597	82.4	-0.249046219	0
Tpratense	40.11	5.833	34.873	10.805	26.1	-0.005563391	0.040867261
Vvinifera	43.615	6.899	43.357	12.839	17.1	-0.150489656	0
Zmarina	41.69	6.281	38.478	12.884	14.1	-0.397782597	0
Zmays	50.643	11.372	54.267	21.515	0	-0.339959902	0
