species	cor_GCtotCDS.lenChr	p_GCtotCDS.lenChr	cor_GC3CDS.lenChr	p_GC3CDS.lenChr	cor_GCtotCDSFirstExon.lenChr	p_GCtotCDSFirstExon.lenChr	cor_GC3CDSFirstExon.lenChr	p_GC3CDSFirstExon.lenChr	nChr
Acoerulea	-0.179	0.7131	-0.429	0.35357	-0.286	0.55595	0.714	0.0881	7
Acomosus	0.051	0.80951	0.126	0.54638	0.224	0.28075	0.122	0.56128	25
Ahalleri	NA	NA	NA	NA	NA	NA	NA	NA	1
Ahypochondriacus	NA	NA	NA	NA	NA	NA	NA	NA	1
Alyrata	0.667	0.08309	0.214	0.6191	0.524	0.19663	0.571	0.15114	8
Athaliana	-0.9	0.08333	-0.5	0.45	-0.2	0.78333	-0.3	0.68333	5
Atrichopoda	NA	NA	NA	NA	NA	NA	NA	NA	1
Bdistachyon	-0.2	0.78333	-0.2	0.78333	0.6	0.35	0.9	0.08333	5
Boleraceacapitata	-0.183	0.64364	-0.433	0.24992	-0.567	0.12057	-0.6	0.0968	9
BrapaFPsc	-0.588	0.08022	-0.321	0.36768	-0.321	0.36768	-0.515	0.13282	10
Bstacei	0.055	0.89164	-0.018	0.97284	0.648	0.04904	0.673	0.03938	10
Bstricta	NA	NA	NA	NA	NA	NA	NA	NA	1
Cclementina	-0.183	0.64364	-0.2	0.6134	-0.35	0.35858	-0.4	0.29119	9
Cgrandiflora	NA	NA	NA	NA	NA	NA	NA	NA	1
Cpapaya	NA	NA	NA	NA	NA	NA	NA	NA	1
Crubella	0.548	0.17098	0.167	0.70332	0.548	0.17098	0.81	0.02178	8
Csativus	NA	NA	NA	NA	NA	NA	NA	NA	1
Csinensis	NA	NA	NA	NA	NA	NA	NA	NA	1
Dcarota	-0.217	0.58094	-0.483	0.1938	-0.083	0.84318	-0.267	0.49333	9
Egrandis	-0.491	0.12916	-0.336	0.31303	-0.655	0.03383	-0.627	0.04399	11
Esalsugineum	NA	NA	NA	NA	NA	NA	NA	NA	1
Fvesca	-0.357	0.44444	0.75	0.06627	-0.179	0.7131	-0.179	0.7131	7
Gmax	-0.319	0.17051	-0.12	0.61236	-0.405	0.07802	-0.271	0.24738	20
Graimondii	0.159	0.60393	0.176	0.56602	0.346	0.24701	0.016	0.96386	13
Kfedtschenkoi	NA	NA	NA	NA	NA	NA	NA	NA	1
Klaxiflora	NA	NA	NA	NA	NA	NA	NA	NA	1
Lusitatissimum	NA	NA	NA	NA	NA	NA	NA	NA	1
Macuminata	-0.196	0.54287	-0.329	0.29739	-0.28	0.37871	-0.35	0.266	12
Mdomestica	NA	NA	NA	NA	NA	NA	NA	NA	1
Mesculenta	0.135	0.59179	0.015	0.9541	0.375	0.12631	0.356	0.1474	18
Mguttatus	0.297	0.30243	0.152	0.60507	0.2	0.4924	0.182	0.53215	14
Mtruncatula	0.929	0.00223	0.619	0.11498	0.786	0.02793	0.31	0.46181	8
Osativa	-0.07	0.83445	-0.049	0.88634	0.734	0.00905	0.734	0.00905	12
Othomaeum	NA	NA	NA	NA	NA	NA	NA	NA	1
Phallii	-0.183	0.64364	-0.283	0.46299	0.8	0.01383	0.783	0.01722	9
Ppersica	-0.357	0.38938	-0.238	0.58214	-0.31	0.46181	-0.119	0.79301	8
Ptrichocarpa	0.289	0.22856	0.251	0.29887	0.175	0.4709	0.349	0.1432	19
Pvirgatum	-0.216	0.38844	-0.232	0.35233	0.622	0.00696	0.577	0.01374	18
Pvulgaris	-0.209	0.53911	-0.345	0.29939	-0.145	0.67342	-0.227	0.50307	11
Rcommunis	NA	NA	NA	NA	NA	NA	NA	NA	1
Sbicolor	-0.37	0.2956	-0.564	0.09579	0.321	0.36768	0.382	0.27897	10
Sitalica	-0.183	0.64364	-0.383	0.3125	0.733	0.03112	0.7	0.04325	9
Slycopersicum	-0.308	0.30629	-0.511	0.07757	-0.451	0.1247	-0.445	0.12979	13
Spolyrhiza	NA	NA	NA	NA	NA	NA	NA	NA	1
Spurpurea	-0.247	0.30587	-0.114	0.6413	-0.04	0.87116	-0.179	0.46192	19
Stuberosum	0.302	0.31539	-0.033	0.92059	0.33	0.27146	0.06	0.84899	13
Sviridis	-0.15	0.70807	-0.367	0.33626	0.683	0.05032	0.75	0.02549	9
Tcacao	0.164	0.65672	0.164	0.65672	0.164	0.65672	0.358	0.3128	10
Tpratense	0.464	0.30238	0.607	0.16667	0.286	0.55595	0.536	0.23571	7
Vvinifera	-0.359	0.12015	-0.244	0.29929	-0.257	0.27254	-0.308	0.18568	20
Zmarina	NA	NA	NA	NA	NA	NA	NA	NA	1
Zmays	-0.03	0.94571	-0.212	0.55991	0.152	0.68181	0.164	0.65672	10
