species	nbexon.mean	nbexon.var	prop_MonoEx	nbexon.sd
Acoerulea	4.153976834	27.89882742	7.72E-05	3.151244595
Acomosus	4.345081929	24.0856646	9.34E-05	3.001922465
Ahalleri	4.152206058	24.68383948	9.54E-05	3.128941403
Ahypochondriacus	3.969104903	22.6869198	0.000107648	3.050886
Alyrata	4.001771404	24.69563338	8.44E-05	3.133092588
Athaliana	4.261954756	27.26834889	7.92E-05	3.243987216
Atrichopoda	3.310224556	22.03250593	7.84E-05	3.000667888
Bdistachyon	4.069564649	30.01232602	6.53E-05	3.144867194
Boleraceacapitata	3.804388547	21.59130771	5.95E-05	3.01577714
BrapaFPsc	4.118346496	21.49762579	5.87E-05	3.0681147
Bstacei	4.010209414	26.75121256	8.04E-05	3.100984175
Bstricta	4.19358284	24.38215202	8.90E-05	3.101171338
Cclementina	4.361607896	23.52206607	8.44E-05	3.172671242
Cgrandiflora	4.215505596	26.40150811	9.65E-05	3.182825411
Cpapaya	3.560123751	15.76857434	7.45E-05	2.947687059
Crubella	4.187419541	25.44950676	8.88E-05	3.16887382
Csativus	4.438318265	24.11883788	9.88E-05	3.21559964
Csinensis	4.497009076	27.07236318	6.88E-05	3.184647372
Dcarota	4.048707456	25.27644835	6.65E-05	3.187046101
Egrandis	4.037889238	21.18983103	5.87E-05	3.032761577
Esalsugineum	4.281120332	25.61422696	8.64E-05	3.197224275
Fvesca	4.046273921	26.77732103	6.53E-05	2.993332836
Gmax	4.511214084	26.06288659	3.80E-05	3.207321594
Graimondii	4.792216344	28.06970826	4.54E-05	3.232237044
Kfedtschenkoi	4.289220492	25.47186902	7.26E-05	3.191308211
Klaxiflora	4.572527825	27.38635235	4.58E-05	3.24623223
Lusitatissimum	4.105988523	24.58085677	4.90E-05	3.151876219
Macuminata	4.537792113	22.30588189	6.09E-05	3.083640968
Mdomestica	4.00747679	20.34609343	3.32E-05	3.002526133
Mesculenta	4.041378336	25.45850513	7.06E-05	3.165589181
Mguttatus	4.134519834	24.17079133	8.15E-05	3.156687447
Mtruncatula	3.573819093	19.23903642	3.98E-05	2.849372101
Osativa	3.651821444	17.53156623	5.16E-05	2.932537204
Othomaeum	3.703651355	18.88218342	7.85E-05	2.884080824
Phallii	3.873098745	24.24570659	6.04E-05	3.005569902
Ppersica	4.552981376	33.16520634	7.51E-05	3.30662525
Ptrichocarpa	4.520248755	25.43998589	4.27E-05	3.178331682
Pvirgatum	3.53602006	14.5136093	2.26E-05	2.706708271
Pvulgaris	4.424418356	29.79467058	8.54E-05	3.273522697
Rcommunis	3.350724337	21.51852367	6.91E-05	2.96683284
Sbicolor	3.975676147	25.06454855	6.98E-05	3.085743602
Sitalica	3.926746398	24.33624637	6.80E-05	3.026426286
Slycopersicum	3.662071197	19.99475017	6.47E-05	2.976935119
Spolyrhiza	4.27484489	24.4589329	0.000108849	3.156420596
Spurpurea	4.449206731	24.83173454	5.35E-05	3.170726325
Stuberosum	3.340211794	11.3108923	3.63E-05	2.754051497
Sviridis	3.99543379	26.21815605	6.26E-05	3.041921535
Tcacao	4.568374934	26.04974485	8.85E-05	3.261701563
Tpratense	3.490970475	18.54889163	6.37E-05	2.859353819
Vvinifera	4.716893223	26.72222789	9.61E-05	2.995588461
Zmarina	4.060676571	24.82722639	0.000119325	3.172556207
Zmays	3.401026154	8.593729641	2.33E-05	2.931388052
