keygene	nbexon	map	phys	GC_total.mean	GC_total.sd	GC3.mean	GC3.sd
Bradi0012s00100.1.v3.1	2	scaffold_12	1137.5	53.1485370844116	0.924839211422407	68.5528756957328	3.14852741159132
Bradi0012s00201.1.v3.1	4	scaffold_12	16639.5	62.1247755780838	12.0835754190946	62.0740493874183	15.9510710945887
Bradi0012s00201.2.v3.1	3	scaffold_12	16639.5	66.6425579136355	9.8263446395332	63.3209547387799	19.295760308042
Bradi0014s00100.1.v3.1	1	scaffold_14	18383	43.7622468974526	NA	40.9402546523017	NA
Bradi0135s00100.1.v3.1	4	scaffold_135	2427.5	43.3542167662095	3.10632782937453	43.3609143903262	6.07447659590617
Bradi0180s00100.1.v3.1	3	scaffold_180	1253	47.9726614901889	6.9978966872929	50.9488905267957	8.39849847954921
Bradi1g00200.1.v3.1	2	1	11109.5	57.6627116358804	2.04367302650462	73.7209302325581	8.87994562420313
Bradi1g00210.3.v3.1	11	1	20120.5	48.3931723162857	6.43090866584079	44.8507764456794	18.9568557305883
Bradi1g00213.1.v3.1	6	1	30086	63.836707251506	3.54875351636877	71.2205477175794	5.43917333436007
Bradi1g00215.1.v3.1	4	1	48263.5	38.8734469335562	17.3295211855938	34.057239057239	7.2784146610843
Bradi1g00217.1.v3.1	1	1	52679	70.5263157894737	NA	62.992125984252	NA
Bradi1g00222.1.v3.1	4	1	57178	50.7337379396203	4.6953836795639	53.2358862985963	14.0886155012011
Bradi1g00234.1.v3.1	3	1	64846.5	45.3380653770089	4.13644201365902	47.577754348972	8.57201980958574
Bradi1g00247.3.v3.1	4	1	105706	54.6225081616428	10.6198645769721	66.132583114491	21.8502764800911
Bradi1g00253.1.v3.1	1	1	109069.5	64.3478260869565	NA	66.1458333333333	NA
Bradi1g00260.5.v3.1	12	1	119023	47.2783622922452	6.27511435121499	49.7124487394655	13.8358809541699
Bradi1g00260.6.v3.1	14	1	118027	46.2282083223619	6.4922774110252	48.8380813941771	12.2468679945241
Bradi1g00266.1.v3.1	6	1	124393.5	41.461826353797	4.64628267818443	43.2792469299041	6.68914503862606
