"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess"
"Brachypodium" "Bradi5g00220.3.v3.1" 4 "5" 234619.5 47.6924993090608 5.6545188119145 49.524087024087 8.17424112942564 NA
"Brachypodium" "Bradi5g00252.1.v3.1" 2 "5" 250697.5 54.0078804987062 3.39747259603272 49.4429708222812 0.300098368673359 NA
"Brachypodium" "Bradi5g00363.1.v3.1" 4 "5" 339776.5 60.8721743570392 6.95340825486001 67.5649180995127 5.11775938639413 NA
"Brachypodium" "Bradi5g00385.1.v3.1" 7 "5" 364381 43.1890460434468 7.61106903839453 37.0766900080541 8.02701649578898 NA
"Brachypodium" "Bradi5g00407.1.v3.1" 1 "5" 372807 72.4489795918367 NA 73.2824427480916 NA NA
"Brachypodium" "Bradi5g00430.1.v3.1" 12 "5" 384046 46.8028611912408 8.39879442482522 46.9017205527043 17.6869130441455 NA
"Brachypodium" "Bradi5g00430.2.v3.1" 11 "5" 384046 47.0803940268082 8.7508285037432 47.4858596505692 18.4283883810723 NA
"Brachypodium" "Bradi5g00430.6.v3.1" 9 "5" 380230 48.7089129311024 9.7466212886053 50.9540875921561 19.9408002464112 NA
"Brachypodium" "Bradi5g00447.1.v3.1" 3 "5" 417305.5 45.9421013552281 2.68475515455865 36.0021786492375 7.66368321261572 NA
"Brachypodium" "Bradi5g00451.1.v3.1" 6 "5" 423765 45.0403041240294 3.64194811654976 43.4071215103967 8.55846483825079 NA
"Brachypodium" "Bradi5g00460.3.v3.1" 1 "5" 430196.5 61.5384615384615 NA 78.4 NA NA
"Brachypodium" "Bradi5g00467.1.v3.1" 7 "5" 433762 56.934381051117 5.61416136904384 76.7376152583049 8.11678726119024 NA
"Brachypodium" "Bradi5g00472.1.v3.1" 1 "5" 438175 53.4850640113798 NA 58.1196581196581 NA NA
"Brachypodium" "Bradi5g00478.1.v3.1" 5 "5" 443978.5 49.4959311026267 8.88004654838718 47.2532710375428 22.7126117768312 NA
"Brachypodium" "Bradi5g00489.1.v3.1" 2 "5" 452129 53.9517819706499 10.1248203679331 48.2954545454545 2.41059129949959 NA
"Brachypodium" "Bradi5g00500.1.v3.1" 8 "5" 456580.5 50.2379890557772 7.025663250804 57.1811524491177 24.2999344514061 NA
"Brachypodium" "Bradi5g00530.2.v3.1" 1 "5" 502821 70.5947136563877 NA 89.4389438943894 NA NA
"Brachypodium" "Bradi5g00540.1.v3.1" 27 "5" 514435 45.3818909001621 8.60461628417135 40.8089250619552 16.0714542923101 NA
"Brachypodium" "Bradi5g00550.1.v3.1" 1 "5" 521533 71.0591133004926 NA 92.962962962963 NA NA
"Brachypodium" "Bradi5g00570.2.v3.1" 4 "5" 527154 45.7493969775237 5.8638207038215 53.0839146840081 7.8982537612867 NA
"Brachypodium" "Bradi5g00590.1.v3.1" 4 "5" 537638.5 60.0343956809474 9.12144047653418 71.710372960373 29.2590865723273 NA
"Brachypodium" "Bradi5g00590.2.v3.1" 4 "5" 537208.5 62.4208548903671 4.49212327035736 77.1590909090909 18.5127190949614 NA
"Brachypodium" "Bradi5g00590.3.v3.1" 4 "5" 537264 62.5268994290734 4.29371841446609 80.2840909090909 12.4682601317583 NA
"Brachypodium" "Bradi5g00610.1.v3.1" 10 "5" 549311 51.1752037524431 7.21085785120183 55.0472816290414 19.4045068101321 NA
"Brachypodium" "Bradi5g00610.3.v3.1" 9 "5" 549145 49.8594125375197 6.25467266603693 52.3744568457835 18.5650898240703 NA
"Brachypodium" "Bradi5g00622.1.v3.1" 2 "5" 571782 49.1249644031377 7.18511434011751 55.3714030349545 14.2116551277395 NA
"Brachypodium" "Bradi5g00630.1.v3.1" 2 "5" 578872.5 54.2531544002574 16.4362962268888 59.1460622710622 28.7343071567336 NA
"Brachypodium" "Bradi5g00630.2.v3.1" 3 "5" 578872.5 50.0410717840319 13.8486214692008 54.0795376121463 21.9899291768343 NA
"Brachypodium" "Bradi5g00630.3.v3.1" 3 "5" 579029 51.7959624629732 12.2131041064094 59.1589026915114 19.3761823458347 NA
"Brachypodium" "Bradi5g00650.1.v3.1" 2 "5" 593277 65.4024066163322 9.7867308634446 89 10.8423039781938 NA
"Brachypodium" "Bradi5g00660.2.v3.1" 2 "5" 599286 65.6498265637238 0.128572062149226 81.1616161616162 4.78547013530285 NA
"Brachypodium" "Bradi5g00665.1.v3.1" 3 "5" 599877 50.419739761348 2.33997378262454 55.4281345565749 17.5009669032808 NA
"Brachypodium" "Bradi5g00673.2.v3.1" 4 "5" 610585.5 66.6347070313539 5.52748880631979 81.0759313217723 10.7172696910192 NA
"Brachypodium" "Bradi5g00676.1.v3.1" 2 "5" 616812 61.2909748829289 2.80103388630942 71.4120370370371 3.76468888131729 NA
"Brachypodium" "Bradi5g00680.1.v3.1" 2 "5" 620270.5 68.0449826989619 2.76481198180205 81.0784878142391 9.9057369078138 NA
"Brachypodium" "Bradi5g00690.1.v3.1" 2 "5" 639206 59.598694458868 0.823497994557457 82.5875055383252 5.51399173632402 21.25
"Brachypodium" "Bradi5g00731.1.v3.1" 2 "5" 685341 50.8487551591 21.4033719481776 69.8179271708684 28.0267813831643 20.95
"Brachypodium" "Bradi5g00746.1.v3.1" 2 "5" 703904.5 40.6379928315412 4.75459613443 38.1048387096774 0.85537110627402 20.83
"Brachypodium" "Bradi5g00755.1.v3.1" 2 "5" 738667 63.5227272727273 9.16024693809849 65.9863945578231 7.69640033944542 20.59
