species genome_size GC3.mean GC3.mean_exon1
Acoerulea 306.5 36.0576408921408 36.0415191929952
Acomosus 526 51.5995395305219 51.5442479496459
Ahalleri 145.5 40.8980170843917 40.8628822378635
Ahypochondriacus 466 36.4942340998162 36.4721449906103
Alyrata 207 41.5601126988068 41.5116952161928
Athaliana 135 40.9594739218526 40.9801892619916
Atrichopoda 870 42.8317604115006 49.0801383071558
Bdistachyon 272 53.8634413489761 53.8658281025876
Boleraceacapitata 630 44.4011106868057 51.1144343719437
BrapaFPsc 283 44.2280958021955 44.212141575056
Bstacei 234 55.5918788586944 55.4340352055458
Bstricta 196.5 41.7305647753923 41.7858982410798
Cclementina 301.4 39.8748169509723 39.9034623846512
Cgrandiflora 112.3 41.4361651222877 41.3583942605744
Cpapaya 135 44.8118898768873 48.5850554984566
Crubella 134.8 41.4743513701893 41.5969433421243
Csativus 203 39.2147223575778 39.2760786532374
Csinensis 319 39.4906960272314 39.5151036380922
Dcarota 421 39.2330292686491 44.8353241064845
Egrandis 691 49.519544154783 49.5663123851574
Esalsugineum 241 43.0167926216821 43.0699457650173
Fvesca 240 44.755429970885 50.9729770509105
Gmax 978 39.5708012818576 39.5689661676167
Graimondii 761.4 38.996629534992 38.9925005733169
Kfedtschenkoi 256 47.516349557428 47.5003819052489
Klaxiflora 422 47.5914331376598 47.542000890117
Lusitatissimum 318.3 47.3953721884068 56.2116625257736
Macuminata 472 48.810219989819 48.8431157559595
Mdomestica 881.3 44.0746450265644 51.9844216661181
Mesculenta 582.25 38.7545433529785 38.798697052962
Mguttatus 430 44.1029986820891 43.9635173913423
Mtruncatula 390 36.2199672075017 36.2711411133301
Osativa 372 55.8775963921297 55.8520809662981
Othomaeum 250 55.7691954588648 55.8173739968848
Phallii 554 55.7745253953729 55.721362920872
Ppersica 227.4 41.3238451301221 41.3160886102293
Ptrichocarpa 422.9 39.3077522915439 39.3367792206828
Pvirgatum 1230 55.8390421662534 55.8329203042762
Pvulgaris 537.2 39.5197453346307 39.5291938107497
Rcommunis 400 41.9933374048374 41.9998333039782
Sbicolor 732.2 55.0963604350848 55.171333405298
Sitalica 515 56.3312637856028 56.3580571186851
Slycopersicum 900 36.965753773259 36.9308169830379
Spolyrhiza 158 58.9033859281653 70.773416435315
Spurpurea 392 40.1013622342249 40.1196138160391
Stuberosum 723 37.844041831854 39.8855581838732
Sviridis 394.9 55.5213563186518 55.4074099162795
Tcacao 346 39.7014160997935 39.6949243447189
Tpratense 420 34.8733951313701 34.8210207337801
Vvinifera 487 43.3572128854833 43.3828937425617
Zmarina 202.3 38.4780900466298 38.461788068735
Zmays 2058 54.2670621512831 54.2999064065525
