"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess-2" "loess"
"Zea" "AC155376.2_FGT002.v6a" 1 "8" 163644421.5 57.8343949044586 NA 51.9083969465649 NA 5.35 5.35
"Zea" "AC155376.2_FGT004.v6a" 4 "8" 163686539 59.141897128097 8.70957489828449 75.1449955666823 10.3388647708855 5.37 5.37
"Zea" "AC155376.2_FGT005.v6a" 13 "8" 163723612.5 45.7561220932101 10.0220936000726 46.4868226879693 23.9091829070539 5.41 5.41
"Zea" "AC183518.2_FGT001.v6a" 6 "8" 120820783 55.7516439217788 4.83399541498422 57.8962973257939 10.0696597892858 0.76 0.76
"Zea" "AC183939.3_FGT003.v6a" 2 "8" 161680611 61.6377235531529 6.694827413241 71.3821416353062 6.0719740704011 5.27 5.27
"Zea" "AC183939.3_FGT005.v6a" 1 "8" 161590514 63.8392857142857 NA 71.6216216216216 NA 5.22 5.22
"Zea" "AC183950.2_FGT002.v6a" 1 "8" 162729156 61.7788461538462 NA 79.8561151079137 NA 5.54 5.54
"Zea" "AC183950.2_FGT003.v6a" 6 "8" 162731050 47.229387772866 8.99989731532736 45.5416666666667 18.4037683171574 5.54 5.54
"Zea" "AC183950.2_FGT004.v6a" 3 "8" 162765170.5 50.5873913087471 16.1153075157088 54.0880967771724 23.6978551754878 5.54 5.54
"Zea" "AC183950.2_FGT005.v6a" 1 "8" 162768412 59.4133697135061 NA 66.8032786885246 NA 5.54 5.54
"Zea" "AC185510.3_FGT001.v6a" 1 "8" 31355712.5 65.2719665271967 NA 74.6835443037975 NA 0.95 0.95
"Zea" "AC186377.3_FGT005.v6a" 1 "8" 70828358 58.8461538461538 NA 69.7674418604651 NA 0.13 0.13
"Zea" "AC186404.3_FGT002.v6a" 3 "8" 68685118.5 59.5992070601248 4.01369566182492 70.896331738437 7.18309366685429 0.04 0.04
"Zea" "AC186409.4_FGT002.v6a" 2 "8" 87189748.5 48.319422512971 0.09570585804465 54.2136003337505 4.57244685373032 0.32 0.32
"Zea" "AC186431.5_FGT001.v6a" 5 "8" 61491925.5 48.240604184167 4.1851465586442 42.374269005848 12.1442995753023 -0.15 -0.15
"Zea" "AC186573.3_FGT002.v6a" 4 "8" 72430520 46.7088321912969 13.8277649506315 43.5394953777307 16.7563556060843 0.18 0.18
"Zea" "AC186574.3_FGT002.v6a" 2 "8" 26109165 66.431718061674 19.1884483352825 77.6315789473684 31.6337244215035 1.45 1.45
"Zea" "AC186579.3_FGT006.v6a" 3 "8" 158572825 55.4754273504273 9.88937014273785 68.8879747703277 4.0216671811497 3.22 3.22
"Zea" "AC186579.3_FGT007.v6a" 3 "8" 158575681.5 59.1833356977349 3.77005220498238 68.9685314685315 6.33853445044406 3.23 3.23
"Zea" "AC186582.3_FGT005.v6a" 3 "8" 119278551 39.9954507623642 3.98203040342908 42.2646623513258 19.6856645856604 0.74 0.74
"Zea" "AC186582.3_FGT012.v6a" 2 "8" 119211300 58.4540562913907 18.9800806125611 65.1665166516651 23.5490107145835 0.74 0.74
"Zea" "AC186611.4_FGT005.v6a" 4 "8" 112233777 45.9128349208048 6.37020667729831 54.1026122019636 3.61123178933892 0.57 0.57
"Zea" "AC186789.4_FGT001.v6a" 2 "8" 146279780 46.5011961722488 12.729613704375 59.0476190476191 10.7749604752236 -0.54 -0.54
"Zea" "AC186792.3_FGT002.v6a" 1 "8" 96065767 72.7574750830565 NA 77.6119402985075 NA 0.5 0.5
"Zea" "AC186798.2_FGT002.v6a" 1 "8" 133374451 61.4406779661017 NA 81.0126582278481 NA 0.67 0.67
"Zea" "AC186805.5_FGT005.v6a" 2 "8" 101855748 61.3918128654971 4.94561234093045 60.7301587301587 14.0523442864374 0.56 0.56
"Zea" "AC186807.4_FGT002.v6a" 1 "8" 74221326 62.1301775147929 NA 49.5575221238938 NA 0.18 0.18
"Zea" "AC186808.4_FGT004.v6a" 2 "8" 86039443.5 55.8237170466273 1.46940756199287 68.235294117647 11.6464646313078 0.3 0.3
"Zea" "AC186811.3_FGT003.v6a" 1 "8" 63212275 61.340206185567 NA 57.8125 NA -0.12 -0.12
"Zea" "AC186815.3_FGT002.v6a" 1 "8" 144933378.5 64.2228739002933 NA 83.3333333333333 NA -0.54 -0.54
"Zea" "AC186815.3_FGT003.v6a" 6 "8" 144938075.5 48.4729168823912 12.506368351852 52.1831402778499 16.5388630426493 -0.54 -0.54
"Zea" "AC186885.3_FGT003.v6a" 5 "8" 113022350 49.9217263818634 7.77816173926705 41.6599821746881 9.79521900457371 0.59 0.59
"Zea" "AC186887.4_FGT002.v6a" 2 "8" 155577535.5 60.2322237713489 0.514494738838213 64.5505727043293 5.32629452728363 1.68 1.68
"Zea" "AC186893.4_FGT004.v6a" 2 "8" 103634829 50.7589285714286 13.0688485451443 70.6666666666667 41.4835978296108 0.56 0.56
"Zea" "AC186894.3_FGT002.v6a" 1 "8" 10187875 49.3617021276596 NA 43.312101910828 NA 2.22 2.22
"Zea" "AC186897.4_FGT005.v6a" 2 "8" 13310026.5 62.932782283219 25.8658601882884 55.9941520467836 39.9039791722233 2.28 2.28
"Zea" "AC186897.4_FGT006.v6a" 1 "8" 13300526 80.2690582959641 NA 79.7297297297297 NA 2.29 2.29
"Zea" "AC186897.4_FGT009.v6a" 1 "8" 13216535 55.8035714285714 NA 66.2162162162162 NA 2.3 2.3
"Zea" "AC186897.4_FGT016.v6a" 1 "8" 13178460.5 70.9976798143852 NA 84.6153846153846 NA 2.31 2.31
"Zea" "AC187037.4_FGT005.v6a" 1 "8" 147195526 58.0188679245283 NA 54.9295774647887 NA -0.49 -0.49
"Zea" "AC187037.4_FGT008.v6a" 2 "8" 147251250 70.0271813822802 0.967485685403178 81.1533052039381 10.9397673601295 -0.49 -0.49
"Zea" "AC187038.3_FGT003.v6a" 2 "8" 136936130.5 60.5068442471328 5.15353443928042 67.4019607843137 12.8249759332854 0.51 0.51
"Zea" "AC187038.3_FGT005.v6a" 1 "8" 136952069 57.3684210526316 NA 65.8730158730159 NA 0.51 0.51
"Zea" "AC187065.3_FGT002.v6a" 1 "8" 32317707.5 71.5736040609137 NA 86.1538461538462 NA 0.87 0.87
"Zea" "AC187065.3_FGT003.v6a" 1 "8" 32339047 68.3206106870229 NA 71.2643678160919 NA 0.86 0.86
"Zea" "AC187076.4_FGT004.v6a" 1 "8" 1894063.5 52.8255528255528 NA 58.8235294117647 NA 5.2 5.2
"Zea" "AC187078.3_FGT002.v6a" 3 "8" 95571419.5 47.9779786991343 7.24707003063184 63.1205673758865 22.7254893191661 0.49 0.49
"Zea" "AC187078.3_FGT005.v6a" 2 "8" 95464780.5 59.4953775038521 2.64211701753065 60.5681818181818 4.33906433909924 0.49 0.49
"Zea" "AC187085.3_FGT003.v6a" 1 "8" 44396895.5 56.0757496054708 NA 54.0284360189573 NA 0.1 0.1
"Zea" "AC187086.3_FGT001.v6a" 1 "8" 136346564.5 61.9136960600375 NA 65.1685393258427 NA 0.58 0.58
"Zea" "AC187086.3_FGT004.v6a" 3 "8" 136321740.5 49.1441768099072 3.81495975046697 43.9732142857143 5.55350683242175 0.58 0.58
"Zea" "AC187087.4_FGT001.v6a" 1 "8" 139191065.5 60.3907637655417 NA 60.1063829787234 NA 0.38 0.38
"Zea" "AC187087.4_FGT003.v6a" 1 "8" 139129766 63.5371179039301 NA 61.437908496732 NA 0.39 0.39
"Zea" "AC187090.3_FGT003.v6a" 2 "8" 9480512 65.4165440094201 14.8956612486633 66.8878656554712 16.9115733420293 2.3 2.3
"Zea" "AC187090.3_FGT004.v6a" 1 "8" 9478171 60.7664233576642 NA 63.1868131868132 NA 2.3 2.3
"Zea" "AC187090.3_FGT011.v6a" 1 "8" 9379955 70.3180212014134 NA 68.0851063829787 NA 2.31 2.31
"Zea" "AC187091.5_FGT001.v6a" 1 "8" 93272420 63.5359116022099 NA 70.2479338842975 NA 0.43 0.43
"Zea" "AC187091.5_FGT002.v6a" 1 "8" 93279181 63.5359116022099 NA 70.2479338842975 NA 0.43 0.43
"Zea" "AC187092.6_FGT003.v6a" 1 "8" 70080697.5 78.4503631961259 NA 78.2608695652174 NA 0.09 0.09
"Zea" "AC187093.4_FGT002.v6a" 1 "8" 89285397.5 69.6594427244582 NA 77.5700934579439 NA 0.36 0.36
"Zea" "AC187096.5_FGT001.v6a" 7 "8" 20930378.5 43.2217809848143 15.8433256641515 36.3352390837152 16.3127779452942 2.16 2.16
"Zea" "AC187099.5_FGT005.v6a" 4 "8" 120104556.5 56.086055263349 12.2841683395054 67.2047637554828 18.206620260661 0.75 0.75
"Zea" "AC187147.4_FGT001.v6a" 1 "8" 79389051.5 67.3003802281369 NA 79.3103448275862 NA 0.21 0.21
"Zea" "AC187147.4_FGT002.v6a" 1 "8" 79394067.5 65.8181818181818 NA 79.1208791208791 NA 0.21 0.21
"Zea" "AC187147.4_FGT003.v6a" 1 "8" 79432725.5 64.1425389755011 NA 63.0872483221477 NA 0.21 0.21
"Zea" "AC187153.4_FGT002.v6a" 2 "8" 124971446.5 49.7406082289803 32.2688622326813 52.0833333333333 26.5165042944955 0.76 0.76
"Zea" "AC187157.4_FGT001.v6a" 2 "8" 22690994.5 70.9055060372501 4.77019679987015 74.3396226415095 20.279288818935 1.82 1.82
"Zea" "AC187157.4_FGT002.v6a" 3 "8" 22685283 56.7794266928641 13.7862170487754 64.1118521118521 19.414625146392 1.82 1.82
"Zea" "AC187157.4_FGT005.v6a" 17 "8" 22648177.5 61.6558414350356 6.53373736781171 74.6166236209431 15.2162744376242 1.83 1.83
"Zea" "AC187157.4_FGT007.v6a" 7 "8" 22613454.5 45.7057911409136 7.70863633486825 43.3931813194486 9.6965106849182 1.83 1.83
"Zea" "AC187224.4_FGT004.v6a" 1 "8" 59188332 66.7844522968198 NA 67.0212765957447 NA -0.18 -0.18
"Zea" "AC187235.3_FGT002.v6a" 2 "8" 81238957 49.364406779661 0.898864552355805 62.1518987341772 25.241026872735 0.23 0.23
"Zea" "AC187235.3_FGT003.v6a" 1 "8" 81261370.5 64.064602960969 NA 66.5322580645161 NA 0.23 0.23
"Zea" "AC187241.4_FGT001.v6a" 6 "8" 147895924 44.5333958405954 23.9394099851454 44.4133933442444 28.1362811531839 -0.43 -0.43
"Zea" "AC187243.3_FGT005.v6a" 1 "8" 123144276.5 66.9691470054446 NA 74.4565217391304 NA 0.76 0.76
"Zea" "AC187251.5_FGT002.v6a" 2 "8" 89879030 48.7761059959578 7.54268405712126 45.4454952712792 19.4287179300635 0.37 0.37
"Zea" "AC187251.5_FGT003.v6a" 3 "8" 89929846 55.2575361307093 2.61047502380459 56.6609588160581 9.54495338934669 0.37 0.37
"Zea" "AC187254.6_FGT001.v6a" 1 "8" 100027936 59.7560975609756 NA 61.8181818181818 NA 0.56 0.56
"Zea" "AC187263.4_FGT001.v6a" 1 "8" 24771768.5 64.97277676951 NA 68.8524590163934 NA 1.6 1.6
"Zea" "AC187280.3_FGT001.v6a" 1 "8" 99391143 62.9496402877698 NA 59.7826086956522 NA 0.63 0.63
"Zea" "AC187285.5_FGT004.v6a" 4 "8" 106528466 43.9060506652087 6.36693600191824 54.9188832295793 18.1736229036494 0.54 0.54
"Zea" "AC187287.3_FGT012.v6a" 3 "8" 8500245.5 40.3745295172079 5.79818144750134 33.8352811624373 8.42918609321045 2.48 2.48
"Zea" "AC187384.4_FGT001.v6a" 2 "8" 31622100.5 52.2413793103449 15.3612852464664 59.0206185567011 12.757081103881 0.93 0.93
"Zea" "AC187392.3_FGT006.v6a" 3 "8" 21765077 71.0603274322787 4.95686251581848 79.1221637706573 2.81102907371609 1.96 1.96
"Zea" "AC187393.3_FGT001.v6a" 3 "8" 13667884.5 45.2882779887143 7.04433256714344 39.1239316239316 21.0857814582798 2.17 2.17
"Zea" "AC187485.3_FGT001.v6a" 3 "8" 67254409.5 39.2838810702637 1.5846610348323 42.8116688116688 9.84746453538407 -0.02 -0.02
"Zea" "AC187551.3_FGT002.v6a" 1 "8" 93950049.5 54.260324098275 NA 61.38147566719 NA 0.45 0.45
"Zea" "AC187556.4_FGT001.v6a" 2 "8" 115142724 52.1639188332276 1.19943604291315 59.4814814814815 4.92355832826191 0.64 0.64
"Zea" "AC187779.3_FGT006.v6a" 4 "8" 6035242.5 51.84350132626 11.5375099016185 49.1763440860215 21.2146483946688 3.56 3.56
"Zea" "AC187779.3_FGT007.v6a" 1 "8" 6037747.5 44.7470817120623 NA 40 NA 3.56 3.56
"Zea" "AC187782.4_FGT008.v6a" 3 "8" 140006736.5 32.0659173398899 27.8900515268461 38.8888888888889 34.6944333244356 0.16 0.16
"Zea" "AC187782.4_FGT009.v6a" 2 "8" 140022629 65.4083041308272 7.26104128074113 85.5348837209303 9.14305512417952 0.15 0.15
"Zea" "AC187818.3_FGT001.v6a" 2 "8" 1330394.5 47.9051650104281 9.72911612195698 46.928610957388 11.9742487572265 5.37 5.37
"Zea" "AC187818.3_FGT004.v6a" 1 "8" 1355239 62.5 NA 73.1884057971015 NA 5.36 5.36
"Zea" "AC187820.2_FGT001.v6a" 5 "8" 157847397.5 47.5652601701057 14.6413122567852 39.7309718969555 11.9726119948066 2.81 2.81
"Zea" "AC187820.2_FGT007.v6a" 1 "8" 157863810.5 57.7092511013216 NA 58.6666666666667 NA 2.82 2.82
"Zea" "AC187826.3_FGT007.v6a" 4 "8" 125052766 52.2525960499461 5.16582126516102 49.366149320349 3.54838542784922 0.76 0.76
"Zea" "AC187826.3_FGT009.v6a" 1 "8" 125109673 55.1546391752577 NA 56.25 NA 0.75 0.75
"Zea" "AC187869.3_FGT004.v6a" 1 "8" 3011103 44.1747572815534 NA 26.4705882352941 NA 4.87 4.87
