species	cor	p	upr	lwr	taxonomic_group	GC3.mean
Acoerulea	-0.308567279164148	0	-0.319162671945174	-0.297894757330796	other_eudicot	36.058
Acomosus	0.321187288426233	0	0.309491902829761	0.332785515668338	monocot_commelinid	51.6
Ahalleri	-0.0112371148839649	0.0934611909712552	-0.024363250278215	0.00189289434931769	eudicot_rosid	40.898
Ahypochondriacus	-0.15978214243806	9.93374882199024e-113	-0.173363782701046	-0.146139740045141	other_eudicot	36.494
Alyrata	-0.11262627337183	5.77735082808309e-72	-0.124796317339905	-0.100422344547614	eudicot_rosid	41.56
Athaliana	-0.0902065078378081	4.89982642834243e-50	-0.102007772325881	-0.0783798566291837	eudicot_rosid	40.959
Atrichopoda	-0.0350705044523186	9.04577834086984e-09	-0.0470130032547108	-0.0231179811827589	basal_dicot	42.832
Bdistachyon	0.378647726849082	0	0.369353678151799	0.387866034674667	monocot_commelinid	53.863
Boleraceacapitata	-0.078612901274881	1.20129449882499e-49	-0.0889572078267499	-0.0682516384595926	eudicot_rosid	44.401
BrapaFPsc	-0.00280416783629291	0.595054424699696	-0.0131436808661858	0.00753594479518002	eudicot_rosid	44.228
Bstacei	0.370195267341412	0	0.35977843596649	0.380519824673427	monocot_commelinid	55.592
Bstricta	-0.0748206490526672	4.89313805567709e-31	-0.0874129028059678	-0.0622044885677511	eudicot_rosid	41.731
Cclementina	0.0191909183669593	0.00226524399266766	0.00687195263520269	0.0315040599983276	eudicot_rosid	39.875
Cgrandiflora	-0.0760185719376711	8.97140908447401e-30	-0.0890943372665914	-0.0629166084846818	eudicot_rosid	41.436
Cpapaya	0.0554460537518772	2.23987616152422e-20	0.0437178958080254	0.0671589314181557	eudicot_rosid	44.812
Crubella	-0.084067420517584	5.75880385888944e-39	-0.0966053348142372	-0.0715028307849033	eudicot_rosid	41.474
Csativus	-0.0111660998310704	0.100405380445825	-0.0244833582969983	0.00215512090888452	eudicot_rosid	39.215
Csinensis	0.0332538449495671	4.05193102917427e-09	0.0221787886288711	0.0443207406317737	eudicot_rosid	39.491
Dcarota	-0.106158136822564	3.82395456088035e-81	-0.116958809398405	-0.0953323560569545	eudicot_asterid	39.233
Egrandis	0.357377113836183	0	0.348328910872182	0.36635872563165	eudicot_rosid	49.52
Esalsugineum	-0.00900018404679654	0.156978850850924	-0.02146127290935	0.00346370074377334	eudicot_rosid	43.017
Fvesca	0.103324382315332	1.29852271424016e-78	0.0926108376947239	0.114014005358732	eudicot_rosid	44.755
Gmax	0.106121313073179	1.4977491714368e-141	0.0979724065110398	0.114255990093373	eudicot_rosid	39.571
Graimondii	-0.0524083469565118	1.78225792419582e-30	-0.0613377940366937	-0.0434705114233713	eudicot_rosid	38.997
Kfedtschenkoi	0.138490880143979	3.82618190664113e-126	0.127275834686641	0.149670518487382	other_eudicot	47.516
Klaxiflora	0.0842549863129643	3.16228982029098e-75	0.0752982061164733	0.0931981719924696	other_eudicot	47.591
Lusitatissimum	-0.0552993227572761	8.29583532111601e-31	-0.0646647965805517	-0.0459241082177765	eudicot_rosid	47.395
Macuminata	0.412611985867388	0	0.403881719868341	0.421267102680924	monocot_commelinid	48.81
Mdomestica	0.0943465026578075	1.61508368178335e-125	0.0866332014062897	0.10204849339994	eudicot_rosid	44.075
Mesculenta	-0.0282458020229163	9.35910435086097e-07	-0.039522452726579	-0.0169619573634909	eudicot_rosid	38.755
Mguttatus	0.148785173722347	3.88875482856732e-129	0.136903504235371	0.160624037751068	eudicot_asterid	44.103
Mtruncatula	-0.0678987448993617	1.08633447450258e-54	-0.0764087912531962	-0.0593788069367457	eudicot_rosid	36.22
Osativa	0.390914742760626	0	0.382612734509314	0.399153628382501	monocot_commelinid	55.878
Othomaeum	0.346949555423637	0	0.336343076158004	0.357468026691122	monocot_commelinid	55.769
Phallii	0.447838615857273	0	0.439433551174556	0.456165269554708	monocot_commelinid	55.775
Ppersica	0.00926322967834137	0.114864004667291	-0.00225176407478262	0.0207757672273104	eudicot_rosid	41.324
Ptrichocarpa	-0.0800495108905703	3.07662491307315e-72	-0.0887298904973032	-0.0713569731796536	eudicot_rosid	39.308
Pvirgatum	0.43122693048528	0	0.425933879064418	0.436490464925651	monocot_commelinid	55.839
Pvulgaris	0.12470234609795	2.6993376867078e-88	0.112558289381171	0.136809154663955	eudicot_rosid	39.52
Rcommunis	0.25576509856259	0	0.245227698363399	0.266242072991745	eudicot_rosid	41.993
Sbicolor	0.382542312461018	0	0.372928442791684	0.392074053551445	monocot_commelinid	55.096
Sitalica	0.408226819877159	0	0.398946534230533	0.417423488344243	monocot_commelinid	56.331
Slycopersicum	-0.0979883680542575	5.24186726036216e-70	-0.108756438613916	-0.0871973044337423	eudicot_asterid	36.966
Spolyrhiza	0.245175150647117	1.71423726115872e-266	0.231979243451673	0.258280832469803	monocot_alismatid	58.903
Spurpurea	-0.115771543636008	2.73877842594968e-119	-0.12543321464884	-0.106087915147212	eudicot_rosid	40.101
Stuberosum	-0.0852016014375351	4.5871492764332e-91	-0.0934023543216598	-0.0769892884651688	eudicot_asterid	37.844
Sviridis	0.412119483155385	0	0.403265937695432	0.420895880357783	monocot_commelinid	55.521
Tcacao	-0.0198984429334736	0.00190356879063936	-0.0324519937082974	-0.00733861488070108	eudicot_rosid	39.701
Tpratense	-0.142183054613563	1.77851911215362e-147	-0.15277788934144	-0.131555540538121	eudicot_rosid	34.873
Vvinifera	0.217286308828956	1.22938341868471e-238	0.204801779455348	0.229700150305661	eudicot_rosid	43.357
Zmarina	-0.0708824920186356	2.12005790190146e-21	-0.0854369088715198	-0.0562978305777591	monocot_alismatid	38.478
Zmays	0.43286696871315	0	0.427505338863591	0.438198146715602	monocot_commelinid	54.267
