keygene	nbexon	map	phys	GC_total.mean	GC_total.sd	GC3.mean	GC3.sd
LOC_Os01g01019.1.MSUv7.0	2	1	12057.5	59.176497802452	4.83508592456028	76.405433646813	15.4868946015361
LOC_Os01g01030.1.MSUv7.0	5	1	14066.5	52.9956996154757	7.77159490582155	65.3674869953604	14.2019238932805
LOC_Os01g01040.3.MSUv7.0	7	1	18096	47.0138038431378	10.1880929918987	48.1743842028943	22.0594504826485
LOC_Os01g01040.4.MSUv7.0	3	1	17435.5	52.6116547414722	14.8522250552286	62.8415810768752	28.8907739454363
LOC_Os01g01050.1.MSUv7.0	6	1	24811.5	46.9080602772611	4.92397438921438	43.1546295775835	14.1130558712623
LOC_Os01g01050.2.MSUv7.0	6	1	24824.5	47.6481273958354	5.52997875038068	47.0288803268343	19.6167797419309
LOC_Os01g01060.1.MSUv7.0	4	1	27820	57.4543622121621	6.31451958740752	79.3428689883914	16.2977823364645
LOC_Os01g01070.1.MSUv7.0	14	1	32032	45.8011360952598	5.93443864038075	39.7902691768238	19.0511874814104
LOC_Os01g01070.2.MSUv7.0	14	1	32032	45.97492468655	5.90801788355211	39.989026940799	18.9780358520843
LOC_Os01g01070.3.MSUv7.0	13	1	31793.5	45.6107122627259	6.55350764618506	40.4277432988824	19.7396824622337
LOC_Os01g01080.1.MSUv7.0	15	1	38375	45.6699829337268	10.3331703413659	41.8680708852298	20.9575704402421
LOC_Os01g01090.1.MSUv7.0	8	1	46060.5	47.638096599415	3.22619256334563	44.918650311431	5.51262906941278
LOC_Os01g01110.1.MSUv7.0	1	1	57564.5	61.9631901840491	NA	62.1323529411765	NA
LOC_Os01g01115.1.MSUv7.0	1	1	59874	51.0690789473684	NA	59.5561035758323	NA
LOC_Os01g01120.1.MSUv7.0	4	1	62724.5	58.6269168349318	9.99538460986708	69.4188894559198	19.5213318426334
LOC_Os01g01130.1.MSUv7.0	7	1	64810	49.8760386678153	10.6490871700576	48.2789342669338	17.0958954398785
LOC_Os01g01140.1.MSUv7.0	2	1	69903	60.0375234521576	2.12264699793329	63.4672619047619	8.94405898822275
LOC_Os01g01150.1.MSUv7.0	3	1	74955.5	53.0464233607946	13.0062995458294	52.4806203998172	23.2223732716992
LOC_Os01g01160.1.MSUv7.0	2	1	83185.5	63.0966962127316	16.5842465537596	76.0707099741305	23.8818760532967
LOC_Os01g01170.1.MSUv7.0	7	1	86981	54.2335909992016	9.92100715627399	59.0909447968134	21.6485118371643
LOC_Os01g01180.1.MSUv7.0	1	1	89095	64.6788990825688	NA	93.0555555555556	NA
LOC_Os01g01190.1.MSUv7.0	1	1	90646.5	66.4637857577602	NA	88.2998171846435	NA
LOC_Os01g01200.1.MSUv7.0	7	1	97028.5	59.4407831188826	6.20171986820384	64.7063084772205	8.78836549996296
LOC_Os01g01280.1.MSUv7.0	3	1	134782	63.05688667743	2.79430296591972	74.1461740158978	13.8318531467483
LOC_Os01g01295.1.MSUv7.0	4	1	142996	55.1993174279509	12.4615264162866	56.710940269408	25.6843682977077
LOC_Os01g01302.1.MSUv7.0	9	1	146610	52.8464314743026	7.00997629073692	59.7955126201863	14.9587353684934
LOC_Os01g01307.1.MSUv7.0	5	1	149232.5	51.9920862588677	10.9060856748269	52.5573593073593	22.5284560368234
LOC_Os01g01307.2.MSUv7.0	5	1	149232.5	52.6465586292721	11.4433030660128	55.7278545826933	23.7317888762453
LOC_Os01g01340.1.MSUv7.0	3	1	169929.5	64.5935801729375	2.35996468347153	78.196079822197	10.1922577145183
LOC_Os01g01340.2.MSUv7.0	2	1	170003.5	63.408576229089	2.37613499412529	72.7843915343915	4.44280054316946
LOC_Os01g01350.1.MSUv7.0	7	1	172058.5	51.242637426787	6.12312844372614	60.6352085260263	20.2589522857749
LOC_Os01g01350.2.MSUv7.0	5	1	171848.5	48.7780484710062	5.33490792805917	52.0196927184505	17.0081492661226
LOC_Os01g01360.1.MSUv7.0	1	1	179552	66.1538461538462	NA	91.7627677100494	NA
LOC_Os01g01369.1.MSUv7.0	4	1	188373.5	53.9039402114313	9.74354992679931	62.6294934640523	22.0271027221148
LOC_Os01g01400.1.MSUv7.0	12	1	203792.5	46.718824566758	11.1109853217405	44.369696813568	25.9837918843761
