"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess"
"Oryza" "LOC_Os12g01010.1.MSUv7.0" 5 12 3932.5 56.7925528128009 11.6628568671806 63.0147111861498 27.4374811389445 12.08
"Oryza" "LOC_Os12g01020.1.MSUv7.0" 2 12 6958.5 66.0638758324285 5.02947705601244 80.9860033043424 8.7840036255132 12.07
"Oryza" "LOC_Os12g01030.1.MSUv7.0" 2 12 13452.5 65.3058185082423 3.74586557048513 89.1873380229544 0.761821819049605 12.05
"Oryza" "LOC_Os12g01040.1.MSUv7.0" 1 12 26272.5 66.1674608577263 NA 82.8220858895706 NA 12.02
"Oryza" "LOC_Os12g01050.1.MSUv7.0" 3 12 28731.5 62.6534459613362 5.84522253074341 67.1291163231462 3.94429661172628 12.01
"Oryza" "LOC_Os12g01060.1.MSUv7.0" 6 12 37965.5 43.6534736738757 10.2449512733878 47.3851906009164 22.3517176195522 11.98
"Oryza" "LOC_Os12g01080.1.MSUv7.0" 2 12 42602 62.7438172890671 6.38654487264754 76.5656362906464 1.54706220693159 11.97
"Oryza" "LOC_Os12g01100.1.MSUv7.0" 3 12 51211 58.7749615975423 3.0678132131248 57.2681704260652 14.1081832696713 11.94
"Oryza" "LOC_Os12g01110.1.MSUv7.0" 3 12 53094 59.0606084797423 10.3205757612346 58.0456517638182 4.71944796598905 11.94
"Oryza" "LOC_Os12g01120.1.MSUv7.0" 1 12 64698.5 66.1211129296236 NA 81.8627450980392 NA 11.91
"Oryza" "LOC_Os12g01130.1.MSUv7.0" 3 12 70893.5 48.3803890842511 12.3098726894006 50.6410256410257 13.6434593934569 11.89
"Oryza" "LOC_Os12g01140.1.MSUv7.0" 23 12 82559.5 44.0478735143821 6.47099810690983 40.8425814259976 14.4607567914451 11.85
"Oryza" "LOC_Os12g01140.3.MSUv7.0" 21 12 82374.5 43.5291907148813 6.74809218200293 39.3861398127534 14.4975272315085 11.85
"Oryza" "LOC_Os12g01140.4.MSUv7.0" 19 12 86107.5 42.5558712547853 4.18032249085187 37.3229359502292 10.3594734196461 11.84
"Oryza" "LOC_Os12g01150.1.MSUv7.0" 2 12 92093.5 57.7609108159393 6.81613367823086 76.09937178755 0.524979334975745 11.83
"Oryza" "LOC_Os12g01160.1.MSUv7.0" 7 12 94257 47.5580622255623 10.3422803239571 50.3138757060862 20.7833313718602 11.82
"Oryza" "LOC_Os12g01170.1.MSUv7.0" 8 12 98197.5 50.6237955184775 7.45336135684321 49.1647810699375 20.8820047337335 11.81
"Oryza" "LOC_Os12g01180.1.MSUv7.0" 3 12 102482.5 54.5901209128728 12.7129632096138 55.9227253056367 32.9705945992485 11.79
"Oryza" "LOC_Os12g01180.2.MSUv7.0" 1 12 103596.5 68.8456189151599 NA 93.3054393305439 NA 11.79
"Oryza" "LOC_Os12g01200.3.MSUv7.0" 15 12 116429 45.5608063416688 7.33376558701032 45.8628272358352 15.6089733455813 11.75
"Oryza" "LOC_Os12g01210.1.MSUv7.0" 1 12 127098.5 67.2718585762064 NA 90.5444126074499 NA 11.72
"Oryza" "LOC_Os12g01240.1.MSUv7.0" 7 12 138796.5 47.3790343081123 6.37379972204799 38.7137887441658 15.1120900257188 11.69
"Oryza" "LOC_Os12g01250.1.MSUv7.0" 4 12 150787.5 47.2863725875774 4.92226714063851 49.8318133374488 19.0989021862429 11.65
"Oryza" "LOC_Os12g01260.1.MSUv7.0" 1 12 156861.5 75.2321981424149 NA 92.5233644859813 NA 11.63
"Oryza" "LOC_Os12g01280.1.MSUv7.0" 1 12 161123.5 62.453531598513 NA 59.5505617977528 NA 11.62
"Oryza" "LOC_Os12g01290.1.MSUv7.0" 8 12 167225 57.9492063011039 10.8602084465325 61.6960749037395 21.0299663739231 11.6
"Oryza" "LOC_Os12g01300.1.MSUv7.0" 1 12 174905 68.4579439252336 NA 71.830985915493 NA 11.58
"Oryza" "LOC_Os12g01310.1.MSUv7.0" 2 12 177522 67.8688524590164 0 79.2079207920792 0 11.57
"Oryza" "LOC_Os12g01350.1.MSUv7.0" 3 12 205738 53.8219667418543 9.2573186662794 49.9707602339181 9.45186462805954 11.49
"Oryza" "LOC_Os12g01355.1.MSUv7.0" 1 12 212013.5 31.6888045540797 NA 32 NA 11.47
"Oryza" "LOC_Os12g01360.1.MSUv7.0" 3 12 223099 55.1637649333563 14.1813976473239 60.1693961473545 24.3587638067824 11.43
"Oryza" "LOC_Os12g01370.1.MSUv7.0" 8 12 228317 56.2031318639083 7.6410860711489 72.6858329275551 13.6166445136285 11.42
"Oryza" "LOC_Os12g01380.1.MSUv7.0" 4 12 245053.5 55.8691287781614 8.24612160979479 74.0501540377921 17.413679881705 11.37
"Oryza" "LOC_Os12g01390.1.MSUv7.0" 30 12 254560 46.1949673747039 8.02489291025 47.4530930941946 16.2379755805525 11.34
"Oryza" "LOC_Os12g01400.1.MSUv7.0" 1 12 260805.5 66.1469933184855 NA 90.6040268456376 NA 11.32
"Oryza" "LOC_Os12g01410.1.MSUv7.0" 3 12 264308.5 50.194304424532 7.15687958374533 51.6567608451666 11.8086928485691 11.31
"Oryza" "LOC_Os12g01420.1.MSUv7.0" 1 12 266298 66.4244186046512 NA 87.7729257641921 NA 11.3
"Oryza" "LOC_Os12g01430.1.MSUv7.0" 9 12 268997 45.0256975908086 7.80291036869023 42.9149296875014 20.5282267290401 11.29
"Oryza" "LOC_Os12g01430.2.MSUv7.0" 7 12 268743.5 45.5098187555538 4.93824375936556 42.3256850878991 23.6130310900831 11.3
"Oryza" "LOC_Os12g01449.1.MSUv7.0" 9 12 277856.5 46.796806884236 3.48727334306413 45.9324444816562 10.569626170797 11.27
"Oryza" "LOC_Os12g01480.1.MSUv7.0" 6 12 290707.5 49.4270904068597 10.9970941039374 55.8463855832277 19.355962101663 11.23
"Oryza" "LOC_Os12g01490.1.MSUv7.0" 5 12 297809.5 51.3149540517962 8.16505096687436 55.9333333333333 18.2903903371363 11.21
"Oryza" "LOC_Os12g01500.1.MSUv7.0" 4 12 303818 51.7863713361802 11.9784328698619 55.1077419954986 21.455562810841 11.19
"Oryza" "LOC_Os12g01510.2.MSUv7.0" 7 12 308242 48.4638625643288 6.5749790551475 49.6763868410604 18.3602211489807 11.17
"Oryza" "LOC_Os12g01520.2.MSUv7.0" 6 12 315704.5 49.4348539415573 8.90181029354213 54.6431319423326 20.5023635880869 11.15
"Oryza" "LOC_Os12g01530.1.MSUv7.0" 8 12 322250.5 52.5651338975153 7.21679174515163 65.730084092153 7.8513079851526 11.13
"Oryza" "LOC_Os12g01530.2.MSUv7.0" 8 12 322250.5 52.7315124627703 7.1494324803221 65.9763895108723 7.49563676133373 11.13
"Oryza" "LOC_Os12g01530.3.MSUv7.0" 5 12 322250.5 54.5496469065446 8.75678568534109 67.7526994078718 8.16573208791288 11.13
"Oryza" "LOC_Os12g01540.1.MSUv7.0" 6 12 326484.5 51.9083606176848 16.5370609390429 57.5398455129233 25.6237980411735 11.12
"Oryza" "LOC_Os12g01550.1.MSUv7.0" 1 12 331333 65.531914893617 NA 87.8980891719745 NA 11.1
"Oryza" "LOC_Os12g01560.1.MSUv7.0" 5 12 339627.5 48.0952088266375 6.99151885246264 60.7434513355326 14.3232521672521 11.08
"Oryza" "LOC_Os12g01570.1.MSUv7.0" 3 12 347114.5 55.422929660041 12.8457679970789 66.4877292799611 23.8669026134761 11.05
"Oryza" "LOC_Os12g01580.1.MSUv7.0" 12 12 352758 46.8779689049004 7.41689558821487 40.860743227279 14.7720150025096 11.03
"Oryza" "LOC_Os12g01590.1.MSUv7.0" 4 12 357108 52.0584687589931 11.062050197552 49.8714604203154 21.2529346192119 11.02
"Oryza" "LOC_Os12g01630.1.MSUv7.0" 1 12 380568.5 60.2305475504323 NA 56.8965517241379 NA 10.94
"Oryza" "LOC_Os12g01640.1.MSUv7.0" 12 12 385516.5 52.8303440512175 8.09679828795793 58.9137674299677 7.43668773142954 10.93
"Oryza" "LOC_Os12g01680.1.MSUv7.0" 3 12 412085.5 56.5974025974026 8.46263104097096 74.1517637040025 17.9142245030521 10.83
"Oryza" "LOC_Os12g01690.1.MSUv7.0" 1 12 415290 71.7522658610272 NA 92.7601809954751 NA 10.82
"Oryza" "LOC_Os12g01700.1.MSUv7.0" 2 12 419816 66.7342136402754 0.420072848440464 87.8396094390915 0.645492139436275 10.8
"Oryza" "LOC_Os12g01710.1.MSUv7.0" 4 12 423742.5 46.8891375364885 5.81623327589088 51.1070608495981 10.2557760244667 10.79
"Oryza" "LOC_Os12g01730.1.MSUv7.0" 3 12 436338 63.5375233283547 6.50245773090351 83.8038356074413 17.8699409682091 10.74
"Oryza" "LOC_Os12g01750.1.MSUv7.0" 1 12 457418.5 70.3470031545741 NA 84.9056603773585 NA 10.67
"Oryza" "LOC_Os12g01760.1.MSUv7.0" 7 12 466361 47.4037900285072 11.7883532458217 50.7621574765609 19.8640713579179 10.64
"Oryza" "LOC_Os12g01770.1.MSUv7.0" 5 12 470751.5 52.5090997246465 7.28525996286807 56.8781990261469 16.7896632773766 10.62
"Oryza" "LOC_Os12g01800.1.MSUv7.0" 6 12 485362.5 42.964493200367 4.10160642408086 42.1631578842205 12.7351555675491 10.57
"Oryza" "LOC_Os12g01810.1.MSUv7.0" 2 12 489239 67.4053554939981 1.04466375798562 78.0701754385965 16.1269967639037 10.56
"Oryza" "LOC_Os12g01820.1.MSUv7.0" 2 12 491997.5 69.9497784834884 0.165394730866177 97.74715261959 0.357580194586336 10.55
"Oryza" "LOC_Os12g01870.1.MSUv7.0" 8 12 511133 52.24918561562 9.69753832597265 60.385395355126 10.1154070766085 10.48
"Oryza" "LOC_Os12g01880.1.MSUv7.0" 1 12 516382.5 56.1163387510693 NA 67.9487179487179 NA 10.46
"Oryza" "LOC_Os12g01890.1.MSUv7.0" 2 12 521954.5 66.2907040203747 1.51789339967281 87.0449780827139 4.53480906935913 10.44
"Oryza" "LOC_Os12g01910.1.MSUv7.0" 4 12 533153.5 46.4234653497147 3.69375281130144 50.4165257104195 5.80325223560775 10.41
"Oryza" "LOC_Os12g01916.1.MSUv7.0" 4 12 538321.5 53.1332561706553 13.6220121168874 54.1812829121419 25.6817691545149 10.39
"Oryza" "LOC_Os12g01922.1.MSUv7.0" 23 12 546232 45.0448625009641 6.57257342585345 37.9189185922515 13.6939626222682 10.36
"Oryza" "LOC_Os12g01940.1.MSUv7.0" 10 12 561134 46.2268348266849 10.3257139729342 42.4482783176356 20.0349605190243 10.31
"Oryza" "LOC_Os12g01940.3.MSUv7.0" 8 12 561328.5 47.7957188580314 10.6998654303227 45.8773453856951 20.0378584175395 10.31
"Oryza" "LOC_Os12g01950.1.MSUv7.0" 6 12 564246.5 48.4700189216921 10.1992040527188 58.5083039259241 19.8409970082227 10.3
"Oryza" "LOC_Os12g01955.1.MSUv7.0" 1 12 566737 39.7196261682243 NA 38.0281690140845 NA 10.29
"Oryza" "LOC_Os12g01960.1.MSUv7.0" 3 12 569944 67.0228458355819 7.28984765290379 68.720462543992 11.3098698754499 10.28
"Oryza" "LOC_Os12g01970.1.MSUv7.0" 2 12 578591.5 67.7135414845635 2.11753770178062 90.912775616083 6.95871945817497 10.25
"Oryza" "LOC_Os12g01980.1.MSUv7.0" 3 12 580391 62.4972854328571 5.84651645177997 72.3007452317797 8.99576917096108 10.24
"Oryza" "LOC_Os12g01990.1.MSUv7.0" 2 12 582436 67.6128847811431 5.78378431286208 86.5733081983611 0.674652720864297 10.24
"Oryza" "LOC_Os12g02000.1.MSUv7.0" 1 12 584921.5 67.4611398963731 NA 69.5652173913043 NA 10.23
"Oryza" "LOC_Os12g02020.1.MSUv7.0" 4 12 601086 48.6745959480993 2.56719368740647 49.6060722245198 10.7383976873784 10.17
"Oryza" "LOC_Os12g02030.1.MSUv7.0" 3 12 603597 62.1648915191514 7.09832140715519 80.3806456459732 10.7645687638665 10.17
"Oryza" "LOC_Os12g02050.1.MSUv7.0" 4 12 611190.5 55.7170451897855 10.510722737419 56.6901982522499 20.4154444945736 10.14
"Oryza" "LOC_Os12g02060.1.MSUv7.0" 4 12 615080.5 49.1358401799631 1.52637515935306 48.1317168780832 10.0084399318986 10.13
"Oryza" "LOC_Os12g02070.1.MSUv7.0" 3 12 617204 52.4992133816469 12.6463676407547 64.1965291863872 14.5065179319094 10.12
"Oryza" "LOC_Os12g02080.1.MSUv7.0" 4 12 624802.5 62.5638323577972 9.2015846259239 82.9615087123436 15.6651715346956 10.09
"Oryza" "LOC_Os12g02090.1.MSUv7.0" 1 12 627425.5 69.6470588235294 NA 89.3617021276596 NA 10.09
