"set" "keygene" "nbexon" "map" "phys" "GC_total.mean" "GC_total.sd" "GC3.mean" "GC3.sd" "loess"
"Arabidopsis_thaliana" "AT3G01010.1.TAIR10" 1 3 4580 46.4285714285714 NA 55.3459119496855 NA NA
"Arabidopsis_thaliana" "AT3G01015.1.TAIR10" 8 3 2907.5 43.1623799704438 4.09534215000799 40.951344867674 7.42948024723262 NA
"Arabidopsis_thaliana" "AT3G01020.1.TAIR10" 3 3 5516 47.4174855127236 4.18193937090521 55.0855064247921 5.32336928802186 NA
"Arabidopsis_thaliana" "AT3G01030.1.TAIR10" 1 3 7214.5 41.0762331838565 NA 38.7096774193548 NA NA
"Arabidopsis_thaliana" "AT3G01040.1.TAIR10" 6 3 10685.5 41.5178180872098 5.18941257374517 37.7839818059802 8.72055375628589 NA
"Arabidopsis_thaliana" "AT3G01040.2.TAIR10" 6 3 10685.5 41.5246235860529 5.17987067094971 37.5541801610842 9.03296812056026 NA
"Arabidopsis_thaliana" "AT3G01060.1.TAIR10" 6 3 17806.5 45.0603668402349 1.93893986473388 43.138615200882 6.99084229924096 NA
"Arabidopsis_thaliana" "AT3G01060.2.TAIR10" 6 3 17806.5 45.1470656642836 1.993333545223 43.8094968306677 7.40947096881112 NA
"Arabidopsis_thaliana" "AT3G01060.3.TAIR10" 6 3 17918.5 44.8979277548919 2.0461214630124 45.3150857891173 5.43674499098212 NA
"Arabidopsis_thaliana" "AT3G01070.1.TAIR10" 2 3 20051.5 48.9449672084402 4.85921683107954 53.125 18.3090148700089 NA
"Arabidopsis_thaliana" "AT3G01080.1.TAIR10" 5 3 26478 49.9067809889466 6.23445524792521 50.6005035670934 17.9480365286701 NA
"Arabidopsis_thaliana" "AT3G01085.1.TAIR10" 8 3 29308 43.6539842107683 6.70529736875736 40.0644197016831 11.60317810461 NA
"Arabidopsis_thaliana" "AT3G01090.2.TAIR10" 11 3 32790 44.000689851573 4.83175854879513 44.8314868478178 9.24848476798532 NA
"Arabidopsis_thaliana" "AT3G01120.1.TAIR10" 11 3 40549.5 46.0110327417674 4.66725820777178 42.3577357848541 6.34070151877327 NA
"Arabidopsis_thaliana" "AT3G01140.1.TAIR10" 5 3 47381 45.5646176880445 2.44335095836181 47.7082981399103 6.29855370786314 5.89
"Arabidopsis_thaliana" "AT3G01150.1.TAIR10" 9 3 53038 44.5815342149588 5.42863438556744 39.6325614684353 11.2050948002538 5.88
"Arabidopsis_thaliana" "AT3G01150.2.TAIR10" 8 3 53038 45.4644329807283 5.00521162080958 41.2244964753384 10.350129387886 5.88
"Arabidopsis_thaliana" "AT3G01160.1.TAIR10" 7 3 56052 42.034632092618 2.21074555197254 39.7003124642249 6.56522235592217 5.88
"Arabidopsis_thaliana" "AT3G01170.1.TAIR10" 1 3 58366.5 46.676970633694 NA 54.1666666666667 NA 5.88
"Arabidopsis_thaliana" "AT3G01175.1.TAIR10" 2 3 60164.5 39.8267445582587 3.5394949714484 40.7346622105514 8.30922208257522 5.88
"Arabidopsis_thaliana" "AT3G01180.1.TAIR10" 8 3 64067 45.2916323623338 5.68570771771766 38.928713047018 9.46125077189194 5.88
"Arabidopsis_thaliana" "AT3G01185.1.TAIR10" 1 3 66694 38.7892376681614 NA 36.9127516778523 NA 5.88
"Arabidopsis_thaliana" "AT3G01190.1.TAIR10" 4 3 67856.5 45.7696290723291 1.96319435880744 45.8177982675354 8.3353565200111 5.88
"Arabidopsis_thaliana" "AT3G01200.1.TAIR10" 3 3 70587 48.8213010224441 2.85802847213789 48.4674365638274 4.57969059445932 5.88
"Arabidopsis_thaliana" "AT3G01220.1.TAIR10" 3 3 74447 41.8110183132896 0.516946734778681 39.8952966761359 8.61442639758579 5.88
"Arabidopsis_thaliana" "AT3G01230.1.TAIR10" 1 3 77127 41.8421052631579 NA 50 NA 5.88
"Arabidopsis_thaliana" "AT3G01240.1.TAIR10" 1 3 78741 41.0714285714286 NA 52.3076923076923 NA 5.88
"Arabidopsis_thaliana" "AT3G01250.1.TAIR10" 1 3 79651 38.0566801619433 NA 44.8484848484849 NA 5.88
"Arabidopsis_thaliana" "AT3G01260.1.TAIR10" 6 3 81124.5 39.9188892651145 3.81469208998481 38.9308919224485 7.64337557071068 5.88
"Arabidopsis_thaliana" "AT3G01270.1.TAIR10" 4 3 83806 46.8074727420613 3.44661039337689 51.5170597779293 4.73138263257858 5.88
"Arabidopsis_thaliana" "AT3G01280.1.TAIR10" 6 3 86683 47.4714140964116 4.53715165925893 53.1122571332246 6.20062620719361 5.88
"Arabidopsis_thaliana" "AT3G01290.1.TAIR10" 4 3 88804 45.6251485795792 4.50168121499648 47.6909204542032 5.49849659310599 5.88
"Arabidopsis_thaliana" "AT3G01300.1.TAIR10" 6 3 92076 43.2421245715225 3.46426484467608 38.3750275177822 5.02206853399237 5.88
"Arabidopsis_thaliana" "AT3G01311.1.TAIR10" 3 3 103665 42.5880845090486 6.09906605395534 40.1845399406375 3.23692713786139 5.88
"Arabidopsis_thaliana" "AT3G01319.1.TAIR10" 1 3 106366 42.1428571428571 NA 50 NA 5.88
"Arabidopsis_thaliana" "AT3G01320.1.TAIR10" 22 3 109963.5 42.0066432108998 3.11507591911067 42.3392238954735 10.225488274758 5.88
"Arabidopsis_thaliana" "AT3G01320.2.TAIR10" 22 3 109963.5 42.0832242385678 3.20050896426896 42.3985124330229 10.1766501224466 5.88
"Arabidopsis_thaliana" "AT3G01322.1.TAIR10" 1 3 114447 35.031847133758 NA 35.2380952380952 NA 5.89
"Arabidopsis_thaliana" "AT3G01323.1.TAIR10" 1 3 121268 41.2162162162162 NA 35.7142857142857 NA 5.89
"Arabidopsis_thaliana" "AT3G01324.1.TAIR10" 1 3 122294 42.5324675324675 NA 42.156862745098 NA 5.89
"Arabidopsis_thaliana" "AT3G01325.1.TAIR10" 1 3 123566 40.9090909090909 NA 34.3137254901961 NA 5.89
"Arabidopsis_thaliana" "AT3G01326.1.TAIR10" 1 3 115511.5 39.0163934426229 NA 42.156862745098 NA 5.89
"Arabidopsis_thaliana" "AT3G01327.1.TAIR10" 1 3 116389.5 36.5930599369085 NA 40.9523809523809 NA 5.89
