species	cor	p	upr	lwr	taxonomic_group	GC3.mean
Acoerulea	-0.286205879245947	0	-0.290928842029631	-0.281468967725268	other_eudicot	36.058
Acomosus	0.288223256038778	0	0.283012818089759	0.293416682109445	monocot_commelinid	51.6
Ahalleri	-0.233826505634203	0	-0.239343828165433	-0.228294082779339	eudicot_rosid	40.898
Ahypochondriacus	-0.225630891444903	0	-0.231670742561651	-0.219573645414231	other_eudicot	36.494
Alyrata	-0.234615325589947	0	-0.239873683584195	-0.229343201501998	eudicot_rosid	41.56
Athaliana	-0.253156539180798	0	-0.258000551465586	-0.248299799654469	eudicot_rosid	40.959
Atrichopoda	-0.134750910461984	0	-0.140554237757324	-0.128938324115243	basal_dicot	42.832
Bdistachyon	0.367257692820737	0	0.363142986390354	0.371358074509782	monocot_commelinid	53.863
Boleraceacapitata	-0.22285378856801	0	-0.227480516618242	-0.218216998985818	eudicot_rosid	44.401
BrapaFPsc	-0.193346575226858	0	-0.197847503028639	-0.188837494697239	eudicot_rosid	44.228
Bstacei	0.391900446454421	0	0.387347179956292	0.39643459498554	monocot_commelinid	55.592
Bstricta	-0.223656668397951	0	-0.228983542567923	-0.218316399496782	eudicot_rosid	41.731
Cclementina	-0.161540209059111	0	-0.166765990584039	-0.156305352459956	eudicot_rosid	39.875
Cgrandiflora	-0.241868865678059	0	-0.247299793730356	-0.236422740847279	eudicot_rosid	41.436
Cpapaya	-0.178561765706484	0	-0.184210440622411	-0.172901295999324	eudicot_rosid	44.812
Crubella	-0.242974531940931	0	-0.248217629603185	-0.237717198819747	eudicot_rosid	41.474
Csativus	-0.160663373708436	0	-0.166262458767874	-0.155053929087971	eudicot_rosid	39.215
Csinensis	-0.180046267736861	0	-0.184601986999714	-0.175482811402887	eudicot_rosid	39.491
Dcarota	-0.235908809110312	0	-0.240519261588557	-0.231287711987131	eudicot_asterid	39.233
Egrandis	0.117087953214446	0	0.112434134730025	0.121736635088002	eudicot_rosid	49.52
Esalsugineum	-0.203429325192556	0	-0.208641674615967	-0.198205419237263	eudicot_rosid	43.017
Fvesca	0.0170395676879024	3.18277668472479e-12	0.0122483160230423	0.0218300369295591	eudicot_rosid	44.755
Gmax	-0.0941042119758866	0	-0.0975745315183602	-0.0906316040576218	eudicot_rosid	39.571
Graimondii	-0.209118271042234	0	-0.21263176694993	-0.205599367735316	eudicot_rosid	38.997
Kfedtschenkoi	0.00596874479756527	0.018801074771307	0.000989505896249177	0.010947687741898	other_eudicot	47.516
Klaxiflora	-0.011256606610059	5.56684417266304e-09	-0.015040854098959	-0.00747203665170141	other_eudicot	47.591
Lusitatissimum	-0.166264346493311	0	-0.170335812037168	-0.162187204060492	eudicot_rosid	47.395
Macuminata	0.229931828201764	0	0.22565767991824	0.234197124968188	monocot_commelinid	48.81
Mdomestica	-0.0459940448106268	9.3790075491052e-141	-0.0495568941423566	-0.0424300249318419	eudicot_rosid	44.075
Mesculenta	-0.189107315287249	0	-0.193987490445512	-0.184217780538698	eudicot_rosid	38.755
Mguttatus	-0.062343043349203	3.58462073271333e-113	-0.0677300589826727	-0.0569523927639487	eudicot_asterid	44.103
Mtruncatula	-0.180204307006967	0	-0.184223337351595	-0.176179250711573	eudicot_rosid	36.22
Osativa	0.426962754551101	0	0.423072878594096	0.430836893020872	monocot_commelinid	55.878
Othomaeum	0.365090128455447	0	0.36009776227375	0.370061584987328	monocot_commelinid	55.769
Phallii	0.422710852148336	0	0.418755414937311	0.426650249975127	monocot_commelinid	55.775
Ppersica	-0.159091646912854	0	-0.16374468520672	-0.15443153006802	eudicot_rosid	41.324
Ptrichocarpa	-0.236542214759584	0	-0.240052043681728	-0.233026201671844	eudicot_rosid	39.308
Pvirgatum	0.406746490519865	0	0.404034317013854	0.409451512710105	monocot_commelinid	55.839
Pvulgaris	-0.0884478670074539	4.00710848327106e-242	-0.0936316410149963	-0.0832592976323286	eudicot_rosid	39.52
Rcommunis	-0.0549727446386641	4.03208154274571e-84	-0.0605027558511611	-0.0494393589310943	eudicot_rosid	41.993
Sbicolor	0.391324025667128	0	0.387030379699326	0.395600701525965	monocot_commelinid	55.096
Sitalica	0.414717128344216	0	0.410529269535309	0.418887492210507	monocot_commelinid	56.331
Slycopersicum	-0.214774037923749	0	-0.219736657791046	-0.209800302907687	eudicot_asterid	36.966
Spolyrhiza	0.249245858743869	0	0.243485911314243	0.254988226055712	monocot_alismatid	58.903
Spurpurea	-0.215237452057898	0	-0.219260255555838	-0.211207330509702	eudicot_rosid	40.101
Stuberosum	-0.201655006170282	0	-0.205830230619889	-0.197472440111978	eudicot_asterid	37.844
Sviridis	0.41112186706263	0	0.407152273374476	0.415075929721927	monocot_commelinid	55.521
Tcacao	-0.18630794448184	0	-0.191430804916119	-0.181174933521015	eudicot_rosid	39.701
Tpratense	-0.172463308167369	0	-0.177632330761764	-0.167284769542173	eudicot_rosid	34.873
Vvinifera	-0.0518357633021677	2.09219575623835e-78	-0.0572429334830414	-0.0464255521505364	eudicot_rosid	43.357
Zmarina	-0.0883255204114229	7.59558548776484e-155	-0.0948138131317229	-0.0818297239051932	monocot_alismatid	38.478
Zmays	0.346252981087251	0	0.343299861228259	0.3491992548769	monocot_commelinid	54.267
