species	cor	p	upr	lwr	taxonomic_group	GC3.mean
Acoerulea	-0.32725247195256	5.24869433339272e-316	-0.342662812928139	-0.311666069060816	other_eudicot	36.058
Acomosus	0.330400498526345	3.33944599389514e-273	0.313487554368589	0.347103888181689	monocot_commelinid	51.6
Ahalleri	-0.140647318950336	9.00338261404309e-45	-0.159935195415668	-0.121252088543953	eudicot_rosid	40.898
Ahypochondriacus	-0.238807458956613	6.65653432632985e-116	-0.258279140061367	-0.219141827355616	other_eudicot	36.494
Alyrata	-0.174715654628606	1.10994861997679e-73	-0.193077819524951	-0.156231152941865	eudicot_rosid	41.56
Athaliana	-0.192403434743894	3.00864360702841e-96	-0.209949106801809	-0.174733877088413	eudicot_rosid	40.959
Atrichopoda	-0.099305800486944	1.68406748786615e-24	-0.118179373201159	-0.0803605038133466	basal_dicot	42.832
Bdistachyon	0.403424887604237	0	0.390030917928101	0.416648175508814	monocot_commelinid	53.863
Boleraceacapitata	-0.182643212276304	1.79148874242955e-109	-0.198294453132883	-0.166898851644471	eudicot_rosid	44.401
BrapaFPsc	-0.149890818329456	4.7627650302629e-80	-0.165098280544989	-0.13461210078296	eudicot_rosid	44.228
Bstacei	0.446341157410288	0	0.432052664538775	0.460405626709863	monocot_commelinid	55.592
Bstricta	-0.187414149504851	1.58851778571601e-85	-0.205593942813983	-0.169105050753177	eudicot_rosid	41.731
Cclementina	-0.0927208012529378	2.66501314382221e-23	-0.110844769866577	-0.0745351818834342	eudicot_rosid	39.875
Cgrandiflora	-0.211255539024333	9.41656237891127e-98	-0.230241358164664	-0.192108956697837	eudicot_rosid	41.436
Cpapaya	-0.145860344434364	1.90920966832145e-55	-0.163745302542537	-0.127879533736439	eudicot_rosid	44.812
Crubella	-0.18778185088446	1.40849434197894e-83	-0.206210160484117	-0.169220381807279	eudicot_rosid	41.474
Csativus	-0.115982878359547	1.40706291408256e-30	-0.135512659245097	-0.0963630027643358	eudicot_rosid	39.215
Csinensis	-0.165187916024422	1.83103360701821e-90	-0.18086748204998	-0.149424401941937	eudicot_rosid	39.491
Dcarota	-0.183520208267674	3.6700558710726e-102	-0.199803820311672	-0.167135254394001	eudicot_asterid	39.233
Egrandis	0.205917226672868	1.61225178950772e-153	0.191069321607122	0.220670919931486	eudicot_rosid	49.52
Esalsugineum	-0.152397633434249	7.65684848708475e-58	-0.17064936927131	-0.134041352766367	eudicot_rosid	43.017
Fvesca	0.0581979335071122	2.53475638342437e-13	0.0426353963378152	0.0737322359768837	eudicot_rosid	44.755
Gmax	-0.0629766288969883	4.1902827649213e-24	-0.0751188566877318	-0.0508157287396698	eudicot_rosid	39.571
Graimondii	-0.192834190377261	8.76654524669757e-188	-0.205370745645533	-0.180234362750757	eudicot_rosid	38.997
Kfedtschenkoi	0.0668840195841016	2.34313332721911e-14	0.0497429870744934	0.0839856631483284	other_eudicot	47.516
Klaxiflora	0.0625349427983823	2.45050680547493e-20	0.0492996653133429	0.0757482619478265	other_eudicot	47.591
Lusitatissimum	-0.119722561820922	6.57655302134804e-64	-0.133452276231209	-0.105946901174918	eudicot_rosid	47.395
