"keygene"	"nbexon"	"map"	"phys"	"GC_total.mean"	"GC_total.sd"	"GC3.mean"	"GC3.sd"
"AT1G01010.1.TAIR10"	6	"1"	4695	44.8128373554714	3.83240854619318	48.2051282051282	12.1162864843914
"AT1G01040.1.TAIR10"	20	"1"	27299	43.5238019654594	3.17033325861133	37.1451580560051	5.40957691438006
"AT1G01040.2.TAIR10"	20	"1"	27299	43.517931642781	3.17778567640562	37.1131715240185	5.4236491278723
"AT1G01050.1.TAIR10"	8	"1"	32026	45.1141424829072	4.22880314534586	42.7593479803846	12.5032264438623
"AT1G01070.1.TAIR10"	6	"1"	39887.5	42.5894078853412	2.06678838459799	43.4580971819778	7.49382900825363
"AT1G01070.2.TAIR10"	5	"1"	39747.5	39.7882220717994	6.41757795932619	42.1585574317281	9.8541964328493
"AT1G01073.1.TAIR10"	1	"1"	44732	30.9090909090909	NA	27.027027027027	NA
"AT1G01080.1.TAIR10"	4	"1"	46146	45.0135653698542	4.14020301264366	41.9195714118428	7.37394802449796
"AT1G01080.2.TAIR10"	4	"1"	46146	45.0608565320818	4.07098640882021	42.0425482445943	7.15687749155981
"AT1G01090.1.TAIR10"	3	"1"	48435.5	50.0508167875928	4.86765294271415	50.6556491110267	7.4442307950238
"AT1G01110.1.TAIR10"	3	"1"	53758	48.3034683669543	1.04523272627382	41.9839649449578	2.33794077365462
"AT1G01110.2.TAIR10"	5	"1"	53366.5	48.0033303251045	2.96784247940771	42.7431423733966	4.23828090640659
"AT1G01115.1.TAIR10"	1	"1"	56682	39.6551724137931	NA	33.3333333333333	NA
"AT1G01120.1.TAIR10"	1	"1"	58185	46.9104665825977	NA	53.5984848484849	NA
"AT1G01130.1.TAIR10"	3	"1"	62858	46.0808876163207	6.45015139695318	50.7936507936508	7.17584973016866
"AT1G01140.1.TAIR10"	14	"1"	65955	43.3305911917566	6.63242758908179	41.9768468349223	11.2096207345596
"AT1G01140.2.TAIR10"	14	"1"	65955	43.3449859572964	6.63794830165776	41.8309915557715	11.1959146667076
"AT1G01140.3.TAIR10"	14	"1"	65955	43.2610033314711	6.57721914180591	41.7217447941059	11.0525268520366
"AT1G01150.1.TAIR10"	4	"1"	71056.5	41.8277310924369	3.75797999879601	43.1367642927377	5.07614173734987
"AT1G01160.1.TAIR10"	5	"1"	73233	50.3108960608409	2.76167358138812	46.855829228243	18.4169995243251
"AT1G01160.2.TAIR10"	6	"1"	73233	48.526406783374	5.02074542916442	45.9092694549084	16.6350398139038
"AT1G01180.1.TAIR10"	1	"1"	76094.5	51.3542795232936	NA	56.8181818181818	NA
"AT1G01190.1.TAIR10"	2	"1"	83954.5	48.4384169003064	3.56388825622479	49.7551911278905	4.4256742262797
"AT1G01200.1.TAIR10"	2	"1"	87430	49.9548351694737	1.80395651745026	55.952562538133	6.04535312469582
"AT1G01210.1.TAIR10"	3	"1"	89253	43.9408142633949	5.4405353885566	42.2222222222222	11.0280340905916
"AT1G01225.1.TAIR10"	2	"1"	96653	43.8890972743185	1.24216682616543	45.0631136044881	4.70082207969743
"AT1G01230.1.TAIR10"	3	"1"	98333	44.4026635330983	1.80846534303844	46.5881443741592	5.68107855699361
"AT1G01240.3.TAIR10"	1	"1"	101180.5	43.3165829145729	NA	40.0602409638554	NA
"AT1G01250.1.TAIR10"	1	"1"	105020	52.7681660899654	NA	51.0416666666667	NA
"AT1G01260.1.TAIR10"	1	"1"	110481	44.1309255079007	NA	41.4551607445008	NA
"AT1G01280.1.TAIR10"	2	"1"	113097.5	47.3198241928935	1.75712658915579	45.5567350042777	1.20879656658999
"AT1G01290.1.TAIR10"	2	"1"	114797.5	44.7077757446151	4.31818555057812	43.7020648967551	13.6206704458647
"AT1G01300.1.TAIR10"	1	"1"	117793.5	51.8874399450927	NA	52.880658436214	NA
"AT1G01305.1.TAIR10"	1	"1"	119641.5	42.1176470588235	NA	47.887323943662	NA
"AT1G01310.1.TAIR10"	1	"1"	120583.5	50.3448275862069	NA	50.8264462809917	NA
"AT1G01340.1.TAIR10"	7	"1"	133766	42.7772076250557	4.39042636445362	40.3679991602784	6.03366697212245
"AT1G01355.1.TAIR10"	5	"1"	139040.5	52.313665610577	7.12308395850237	52.2301587301587	14.3075890723856
"AT1G01360.1.TAIR10"	3	"1"	142526	45.0740705431964	6.38562767891365	40.4956427015251	12.2397328049594
"AT1G01370.2.TAIR10"	9	"1"	144586.5	50.4739807911262	6.7948164497143	33.332221957609	11.5315722832366
"AT1G01380.1.TAIR10"	3	"1"	147503.5	43.0947405085336	1.24362648976043	40.510710553814	8.02613477619801
"AT1G01390.1.TAIR10"	1	"1"	149040	47.50346740638	NA	49.375	NA
"AT1G01400.1.TAIR10"	4	"1"	151653.5	49.184629473091	2.15494287827549	45.4968944099379	8.85864688620099
"AT1G01410.1.TAIR10"	1	"1"	153655.5	41.7511520737327	NA	47.7900552486188	NA
"AT1G01420.1.TAIR10"	1	"1"	155288.5	47.8200692041522	NA	45.5301455301455	NA
"AT1G01430.1.TAIR10"	3	"1"	157744.5	45.4924949956738	1.55595576289825	47.8749966796823	1.84031117173552
"AT1G01450.1.TAIR10"	1	"1"	164811	42.2096317280453	NA	42.5531914893617	NA
